scenario,scope,datasets,truth,mean_estimate,sd_estimate,mean_boot_se,se_ratio,mean_boot_bias,B,cover_pct,cover_pct_lo,cover_pct_hi,cover_basic,cover_basic_lo,cover_basic_hi,cover_norm,cover_norm_lo,cover_norm_hi,reject0_pct,reject0_norm
H0,all,60,0.0,-0.0003457580009920988,0.0013864433619370428,0.0030095784468375767,2.1707186383963077,-0.0002255658368327168,80,1.0,0.9398260695220669,0.9999999999999999,1.0,0.9398260695220669,0.9999999999999999,1.0,0.9398260695220669,0.9999999999999999,0.0,0.0
H0,V1_V1,60,0.0,0.00024896053343184655,0.0016360994702300383,0.0038855963994112843,2.3749145269663603,-0.00038361328304128473,80,1.0,0.9398260695220669,0.9999999999999999,1.0,0.9398260695220669,0.9999999999999999,1.0,0.9398260695220669,0.9999999999999999,0.0,0.0
H0,HVA_HVA,60,0.0,-4.906910865164856e-05,0.002035269315188007,0.004805610419793757,2.3611668411312148,-0.00016189422485261043,80,1.0,0.9398260695220669,0.9999999999999999,1.0,0.9398260695220669,0.9999999999999999,1.0,0.9398260695220669,0.9999999999999999,0.0,0.0
H0,V1_HVA,60,0.0,-0.0006181910057017826,0.0051224978545337954,0.009807270883229946,1.9145485584830015,-0.00020059729841100896,80,1.0,0.9398260695220669,0.9999999999999999,1.0,0.9398260695220669,0.9999999999999999,1.0,0.9398260695220669,0.9999999999999999,0.0,0.0
H0,HVA_V1,60,0.0,-0.0011979979484810662,0.003508053956835096,0.0074617599055023616,2.127036812237127,-7.881782073785611e-05,80,1.0,0.9398260695220669,0.9999999999999999,1.0,0.9398260695220669,0.9999999999999999,1.0,0.9398260695220669,0.9999999999999999,0.0,0.0
H1,all,60,0.0059432080348352885,0.0059432080348352885,0.0016311211451294023,0.0033254840489448617,2.0387719568683784,-0.0005859380211532043,80,1.0,0.9398260695220669,0.9999999999999999,1.0,0.9398260695220669,0.9999999999999999,1.0,0.9398260695220669,0.9999999999999999,0.2833333333333333,0.35
H1,V1_V1,60,0.006132244870073068,0.006132244870073066,0.002628882981354253,0.0047409033883604205,1.803390802095791,-0.0006344340203446094,80,1.0,0.9398260695220669,0.9999999999999999,1.0,0.9398260695220669,0.9999999999999999,1.0,0.9398260695220669,0.9999999999999999,0.1,0.11666666666666667
H1,HVA_HVA,60,0.005478401899354202,0.005478401899354204,0.002712839360315139,0.005311234467979731,1.9578138483521366,-0.0007196034759202712,80,1.0,0.9398260695220669,0.9999999999999999,1.0,0.9398260695220669,0.9999999999999999,1.0,0.9398260695220669,0.9999999999999999,0.06666666666666667,0.016666666666666666
H1,V1_HVA,60,0.0060009891062845705,0.006000989106284569,0.007212782725527985,0.010383173711593105,1.4395517107210578,-0.0006373079149630103,80,0.9833333333333333,0.9114466177322051,0.9970519161391262,0.9833333333333333,0.9114466177322051,0.9970519161391262,0.9833333333333333,0.9114466177322051,0.9970519161391262,0.03333333333333333,0.016666666666666666
H1,HVA_V1,60,0.006191919436663871,0.0061919194366638714,0.004361685890682783,0.008118761018712414,1.8613814066838943,-0.00040778747042288706,80,1.0,0.9398260695220669,0.9999999999999999,1.0,0.9398260695220669,0.9999999999999999,1.0,0.9398260695220669,0.9999999999999999,0.0,0.0
