scen,gamma,n,obs,oracle,oracle_se,oracle_null,N0,N0_se,N0_null,N1,N1_se,N1_null,N3,N3_se,N3_null,N1_z_mean,N1_z_sd,N1_reject,N1_csd,N1_sd_across,N3_z_mean,N3_z_sd,N3_reject,N3_csd,N3_sd_across
G0,0.0,20,0.08365431619436904,-0.0006635623948418049,0.0004050104808889372,0.08431787858921089,0.0025773358362731,0.00040411121441926806,0.08107698035809593,-1.6377834779314937e-05,0.00037212920521765696,0.08367069402914835,-0.00014896157105325001,0.0003640839453365998,0.08380327776542232,-0.02702782609722899,1.3438717874864392,0.15,0.001225373706085575,0.0016642123985593008,-0.11885687905663238,1.3566129638838396,0.15,0.0011918831573840703,0.0016282329025779096
G05,0.5,20,0.08776094204860982,0.003478732267622965,0.000551349672353481,0.08428220978098686,0.0062285034155132,0.0005150105372048632,0.08153243863309659,0.0005660927857800305,0.0003668951171031417,0.0871948492628298,0.0005411938222359094,0.0003329235299776251,0.0872197482263739,0.4444926714256338,1.2583247067290049,0.15,0.0012819375047878152,0.0016408048449107412,0.4520755210349193,1.2715567928784144,0.15,0.0011606020448630449,0.0014888792886783176
G1,1.0,20,0.09210739837266972,0.007839308175526624,0.00043165392171750174,0.08426809019714307,0.010151147874893062,0.0003960321550304506,0.08195625049777663,0.0017770371389343009,0.0002833506846476483,0.09033036123373536,0.001522474976927125,0.00026944850393680796,0.09058492339574258,1.4279690224073298,1.001590803444746,0.35,0.0012750228708476553,0.0012671827846864952,1.267561265224313,0.9822620077166191,0.25,0.00121644707351154,0.0012050103424766448
G15,1.5,20,0.0943732065455539,0.009965918205716419,0.0004675938878854113,0.08440728833983745,0.011965761216666839,0.0004147517101091678,0.08240744532888704,0.002776258468821235,0.00031609336113642506,0.0915969480767326,0.0027931334470672905,0.000284058500661109,0.09158007309848655,2.196584993922911,1.1220280102802018,0.6,0.00126830119201752,0.0014136124854748733,2.322755556484053,1.080954552592349,0.8,0.00121193221593429,0.0012703482341298174
G2,2.0,20,0.10000245214183301,0.015516257066123315,0.0005766501104214984,0.08448619507570967,0.016895926155188052,0.000636482795421158,0.08310652598664492,0.005364712326509679,0.00041152305184865006,0.09463773981532328,0.005145492504675824,0.00040973170409288825,0.09485695963715712,4.154320334958214,1.4494139835658444,1.0,0.0012985668513055151,0.0018403870364835041,4.221206080890208,1.5970058000036251,0.9,0.0012346703787084752,0.001832375885777054
G3,3.0,20,0.11248702460731844,0.027275509829243177,0.0009191048864160161,0.08521151477807519,0.028120924230660028,0.0009160838457306039,0.08436610037665836,0.012910369540635434,0.000729022690339331,0.09957665506668294,0.012255745405159241,0.0007644645810180483,0.10023127920215916,9.46960174874216,2.5766785451730296,1.0,0.0013725908958145197,0.003260288585477047,9.724844375440119,2.5710388835703224,1.0,0.001258351486861825,0.003418789539094503
L,0.0,20,0.08506965256372245,0.0002108888712049549,0.0003961731079632152,0.08485876369251752,0.004157965916587055,0.0004236287066626729,0.08091168664713534,0.0012222255051740046,0.0003995593141922338,0.08384742705854843,0.00023326682353602847,0.0003328807655425334,0.08483638574018645,0.9896810302800138,1.4718369176112294,0.45,0.0012262428503762202,0.0017868835751540628,0.21171143561164057,1.2921130622959847,0.15,0.0011855996012542897,0.001488688040310549
O,0.0,20,0.08336543144631797,-0.001093568209604835,0.00040620245471430905,0.08445899965592284,0.002643822301615095,0.0003831104366461089,0.08072160914470285,-0.00039105752080852006,0.00029304569050122344,0.08375648896712652,-0.00016084956000514037,0.0002905949347474831,0.08352628100632312,-0.33620937557817016,0.9883475392518177,0.05,0.00124556987067409,0.0013105401689482,-0.1812713949741505,1.1763424193270644,0.05,0.0011492342398456853,0.001299580056024976
OL,0.0,20,0.08395213925865269,-0.000866018712493538,0.0004054561870153627,0.08481815797114624,0.0034475279027367687,0.0004433879787276287,0.08050461135591588,0.0010545302121339746,0.00029767585179703786,0.08289760904651869,0.00032353383084149774,0.00027244322352854694,0.08362860542781117,0.8568180182251736,1.0853965665491627,0.3,0.001221463284647155,0.0013312468797566591,0.28668487840231344,1.066564352476492,0.15,0.0011353580718396548,0.0012184031356380022
