scen,gamma,sid,code,n_elig,nsyn,npairs,obs:sil,obs:viv,oracle|sil,oracle|sil:null,oracle|viv,oracle|viv:null,N0|sil,N0|sil:null,N0|viv,N0|viv:null,N0|iters,N1|sil,N1|sil:null,N1|sil:csd,N1|sil:z,N1|viv,N1|viv:null,N1|viv:csd,N1|viv:z,N1|iters,N3|sil,N3|sil:null,N3|sil:csd,N3|sil:z,N3|viv,N3|viv:null,N3|viv:csd,N3|viv:z,N3|iters
G3,3.0,0,280aef9f8938,131,7386,6376,0.11972282814716896,0.0808051437826524,0.03410959426575074,0.08561323388141821,0.020601401149693763,0.060203742632958634,0.03369388731756497,0.086028940829604,0.019910473663817242,0.06089467011883516,5,0.019394309109952174,0.10032851903721679,0.0014491642761150945,13.383099093461128,0.012212945861602225,0.06859219792105017,0.0013277056193702118,9.198534436719003,7,0.017984603744722497,0.10173822440244647,0.0013551338389662273,13.271459414253997,0.01205958128082279,0.0687455625018296,0.001430286883071694,8.431582099755785,8
G3,3.0,1,280aef9f8938,141,7386,6473,0.10678530632316759,0.0762758297825346,0.022366223705498695,0.0844190826176689,0.016362463439217864,0.05991336634331673,0.02349797586243228,0.0832873304607353,0.017081009955804038,0.059194819826730555,5,0.00877478270901658,0.09801052361415101,0.001384724201134742,6.336845056817737,0.007452348060069767,0.06882348172246483,0.0013969318222189857,5.334797261781844,12,0.007646168119734813,0.09913913820343277,0.0012577020209743853,6.079475100001082,0.006680746574640008,0.06959508320789456,0.0014493737802718524,4.609402119435975,9
G3,3.0,2,280aef9f8938,137,7386,6547,0.10492392596221187,0.0687415575866739,0.02063345164196166,0.08429047432025022,0.009302197179193686,0.05943936040748021,0.020625328483242406,0.08429859747896946,0.00956020291407743,0.05918135467259647,5,0.0104659309500166,0.09445799501219526,0.001490645184956234,7.021074535805035,0.001916678082762185,0.06682487950391172,0.0014201879299420939,1.3495946855711798,9,0.0074445116497455525,0.09747941431246633,0.001299799321071815,5.727431557362874,0.0009652024048315345,0.06777635518184236,0.0012797968457335602,0.7541840785506039,9
G3,3.0,3,280aef9f8938,138,7386,6505,0.11197486724119865,0.07760712558763008,0.026301877995016727,0.08567298924618191,0.01727039647638556,0.060336729111244526,0.02821168124920745,0.08376318599199119,0.018402808959038175,0.05920431662859191,5,0.014429276917820828,0.09754559032337783,0.0013314274915525975,10.837448535026592,0.007515765112020612,0.07009136047560947,0.0013472481653523216,5.57860482226387,9,0.014520370185997071,0.09745449705520158,0.001195616057620831,12.144676456496668,0.007464137143115007,0.07014298844451508,0.001391105902252166,5.365613883911178,11
G3,3.0,4,280aef9f8938,133,7386,6567,0.11204817177173824,0.0767996329735846,0.02615048419728856,0.08589768757444968,0.01655822706026672,0.06024140591331788,0.02648172932787992,0.08556644244385832,0.01661604096427707,0.06018359200930753,5,0.01210657214050876,0.0999415996312295,0.0013680692484178238,8.849385478483672,0.008795111481866045,0.06800452149171857,0.0013449439718993404,6.5393887519682465,9,0.012057941024493821,0.09999023074724443,0.0012104416647445095,9.96160440911369,0.008758795999501806,0.0680408369740828,0.0014419958483762887,6.074078513724125,9
G3,3.0,5,280aef9f8938,136,7386,6203,0.11946696260268273,0.07917971323738152,0.03511025382627685,0.08435670877640589,0.0187293073063386,0.060450405931042936,0.03686839655181104,0.08259856605087171,0.019836103191671957,0.05934361004570957,5,0.01859364296943758,0.10087331963324517,0.0013774807166047564,13.498296379253558,0.004648153584311921,0.0745315596530696,0.0013552302863420592,3.4297887459834486,9,0.017331749310205195,0.10213521329247754,0.001299661260402646,13.335589694222072,0.004678394980610273,0.07450131825677125,0.0012534676271794543,3.732362032466344,8
G3,3.0,6,280aef9f8938,140,7386,6531,0.11213753907359576,0.07433074895200159,0.02824944858845769,0.08388809048513805,0.014257743664586943,0.060073005287414626,0.028424242154449816,0.08371329691914592,0.014946112585012562,0.05938463636698901,5,0.01081889321349187,0.10131864586010386,0.001477853846393337,7.3206787260425585,0.00417030735574004,0.07016044159626154,0.0015237670600604881,2.7368404692870136,8,0.009713267596061314,0.10242427147753441,0.0012087733232743155,8.035640271866765,0.003994691082451589,0.07033605786955,0.0013060739334723737,3.0585489688406566,9
G3,3.0,7,280aef9f8938,138,7386,6593,0.10969366787360073,0.07611661401429588,0.025290406918248524,0.0844032609553522,0.016592327214005137,0.059524286800290746,0.026183428677916988,0.08351023919568373,0.017229092140804377,0.05888752187349149,5,0.011477384361434029,0.09821628351216669,0.0013129664412889492,8.741567187480126,0.006351152256206161,0.06976546175808972,0.0012959796543530189,4.900657379051829,7,0.0110792237887578,0.09861444408484292,0.001297515768680182,8.538797027513167,0.006671215724005828,0.06944539829029005,0.0013163001588182485,5.068156893633691,10
G3,3.0,8,280aef9f8938,136,7386,6491,0.11207944869457655,0.07374362136164357,0.02701357869071649,0.08506587000386005,0.013454697604236161,0.06028892375740741,0.025912887348225437,0.08616656134635112,0.013080588115585866,0.0606630332460577,5,0.014653182728260038,0.09742626596631651,0.0013030032912628076,11.245698937612724,0.005923123653395333,0.06782049770824823,0.00141106198621266,4.197635335137336,7,0.016032784761336415,0.09604666393324013,0.0013484844486863577,11.88948435924118,0.007028042622369663,0.0667155787392739,0.0014400829122655455,4.8803041564552085,11
G3,3.0,9,280aef9f8938,137,7386,6362,0.11519557550504095,0.07667885782091871,0.029887599723132558,0.0853079757819084,0.016485596331083142,0.06019326148983559,0.03137029772488029,0.08382527778016066,0.017401336205152673,0.059277521615766035,5,0.015142197758516945,0.100053377746524,0.0014013717047160232,10.805268657529654,0.008874124857256447,0.06780473296366227,0.001525524547931508,5.817097384168001,9,0.01345933601125835,0.10173623949378262,0.001215349096436328,11.074460869493462,0.007746940578439026,0.0689319172424797,0.0013187971038775377,5.874247490884996,9
