sid,N0,N1,N2,N2_boot_sd,N2_boot_lo,N2_boot_hi
0,0.015155847981940165,0.0036102292300015707,0.002676432517995503,0.0038460917270714086,-0.0032522106057614546,0.008477772682826522
1,0.01272135795298588,0.004908701633052073,0.0035186705436951373,0.0028534822509023246,-0.00396261913412209,0.00688640613758103
2,0.02307322876112715,0.010767119255399818,0.009978819876899091,0.003808071042569656,0.0035367195254845333,0.017056896998719116
3,0.015231213900632022,0.007282167428967718,0.0075185043659713475,0.0033381851153593983,-0.000250184569123028,0.012031224754472056
4,0.012352688791621354,0.0060595575545266,0.0060027165386658905,0.0030301111593283646,-0.0007598982723603023,0.011109797573419093
5,0.014147943346616345,0.008205327286372383,0.007713971992305788,0.003941128525727345,-0.0012471795460559211,0.013235870863780032
6,0.014382274650445517,0.00858291212193516,0.008383857090399327,0.0037182860927398374,-0.00010839255704882489,0.013195624374000728
7,0.013737380035310155,0.006504875900653184,0.005150923630211316,0.0035421162478686255,-0.0023034713289664713,0.010469717623141155
8,0.010228525832042378,0.0046580116902189385,0.005278936174081987,0.0027779812858914426,-0.0008731603204003412,0.009905191177376598
9,0.013752452010952416,0.0063377633884910516,0.005590491009778664,0.0034127038411620432,-0.0007587577019838389,0.010782086032943382
10,0.010609907954906612,0.005239039731858453,0.005585601707756169,0.002889763447863369,-0.0002602251445981075,0.00982043490727086
11,0.013621802728084614,0.006488112993147076,0.005899049789973195,0.0031357657633820347,-0.0022157313896057963,0.009917996602020555
12,0.01491343768399945,0.005157460486831937,0.004757969676871764,0.003197758560974206,0.0002963672230598354,0.01281689830392374
13,0.013901618629780867,0.005940651553590437,0.004917098103716436,0.002704036426267814,-0.0008682101294145995,0.008500271815782329
14,0.011056419495861466,0.004833055780769636,0.004028039917826994,0.002865884983028588,-0.0006439918984811283,0.011521807321288996
15,0.014237723283171536,0.0063825205936930245,0.004576996080804513,0.0037336358055778465,-0.0020694327020080393,0.012061342651919526
16,0.008714273980523848,0.0044808120670743,0.0039199567610071154,0.003021666489226645,-0.0038047061779953924,0.008850434120627743
17,0.01100024042158402,0.007891098656150343,0.007385806531900798,0.003943842004818376,-0.0010269487978716424,0.013729713416881673
18,0.009899817092322743,0.005379993682842478,0.004514889998173516,0.003672631324231927,-0.001926186335057087,0.011551516292462781
19,0.013670433585700886,0.006329726344973089,0.005769992560052733,0.0036051296401439464,-0.0021320475504478975,0.011558148103092995
20,0.014951862876228057,0.00975300697181948,0.007480903170457443,0.0033505424071108986,0.001052715544957915,0.013001144080495877
21,0.010442928103731574,0.005098007457419278,0.00465431618731197,0.0034933578836002593,-0.00323886776287333,0.011128310581116857
22,0.016621670200988987,0.006652564532297262,0.006236900640401148,0.0036599302577916388,-0.001137004164618095,0.011767501905933607
23,0.014280386994664454,0.006018504480184053,0.005426998311415255,0.0033308812399928684,-0.0032197422704701877,0.009775025937782055
24,0.014904307625120227,0.006023100234749729,0.005232770925225447,0.003260857941648602,-0.0012003288869696848,0.011091329490264366
25,0.017533640786919387,0.009093535144045347,0.00833137252229363,0.0029721133795042294,0.001016053709740434,0.012288719041062804
26,0.010267446772550808,0.003370020570862539,0.003905033639703125,0.003744585287061259,-0.004292865793189714,0.010335586403799335
27,0.016155356890840536,0.006257791574023437,0.004899136055162279,0.0037240413095361597,-0.0036876676952672786,0.01156257566173347
28,0.01826409004132631,0.0072919261616138905,0.00655904119542569,0.0034615203643373667,-0.00043557477255963203,0.012703130416108916
29,0.01403961373852732,0.007569338049959849,0.005861023687817247,0.003268856803270308,-0.001885843723060492,0.011173373316224396
30,0.010703849316527283,0.005526086107742177,0.005118217042390188,0.003377453493779104,-0.0016163591721438959,0.012146981445843728
31,0.01619523453829645,0.007065015136527145,0.0064188989578836024,0.003157087576792769,0.0009161277078648817,0.011977214579114551
32,0.011536032001376081,0.004117514157128984,0.003844464929976938,0.0029207681259118905,-0.0011814585918261972,0.009055785770698823
33,0.007418330548213669,0.003312087932668822,0.003091483869452598,0.0032538783575901615,-0.003488938066405336,0.00842368167344825
34,0.009101715665891017,0.0020333323253620018,0.0027980218135122592,0.0028691485456835263,-0.0032801011827835957,0.008031332037548269
35,0.015025890781308802,0.009216627892759002,0.008675627048909002,0.0030862030810647756,0.0021064155425025008,0.012566233754779763
36,0.015741087430843383,0.006667360708664245,0.006598509085679648,0.003401607778891818,0.0006421828254851776,0.01330586296591011
37,0.012065910746076863,0.005209106780161174,0.005173382209145353,0.002619817199950446,0.00030022711320537327,0.009383793048739862
38,0.012398836109259646,0.006806487785296422,0.006239724614314285,0.003201476075584596,-0.0007167764077006455,0.012013208009219565
39,0.013924586520308101,0.004408079919492258,0.004456941102626975,0.003382705684911474,-0.002156889314997802,0.009081010785558003
40,0.011488722088900663,0.006196590370140194,0.006235283688424603,0.003128882302696976,-0.0004677502097518867,0.010919853397374356
41,0.015736809644680542,0.007471673979497075,0.006512502530883957,0.003458933936990895,-0.0015085618763326278,0.011193394139361214
42,0.010556731068734697,0.005557954012013625,0.004835003325923242,0.0032684267062547184,-0.0022462988459844334,0.009891420392335652
43,0.011698874116108092,0.00677533246001633,0.006584350949202515,0.0031030006114441833,0.0006893236442659359,0.01253703009561279
44,0.014153965051064981,0.007014652484901763,0.0058890938634804215,0.0028326878808707136,-0.0008616658606872059,0.010705656397892381
45,0.011900959295004577,0.005162135286070643,0.0042294437319572425,0.0038765135033107037,-0.004957025291269664,0.009783530222571736
46,0.011626570170760096,0.009743865059259336,0.00859501979460795,0.0031951484417570694,0.0014603849776920028,0.013820845184941304
47,0.013570324080210026,0.006597021274236914,0.0059578637514953875,0.003239554794303966,-0.0027149438861315245,0.011966317736641877
48,0.01606927486982783,0.00906783095169061,0.008165753286710042,0.0034995901973457555,0.0015238851230519068,0.014613251000101931
49,0.017125201649268944,0.008650565195514192,0.008445922465198149,0.003248637822123317,0.002195032673944225,0.015098480237031007
50,0.013020377274087768,0.006719974026617,0.006649615224089138,0.003284086121856933,-0.0009823639847039833,0.011415172033091395
51,0.012983746768997733,0.004800812893371968,0.004291162209809925,0.003636683560255662,-0.00373970341396062,0.01038063353186401
52,0.01766922545471065,0.007905399669836794,0.0070756773314026595,0.0032422446662004186,0.0008601964448088107,0.01237366811754902
