family,null,measure,scope,estimate,B,boot_mean,boot_bias,se,pct_lo,pct_hi,basic_lo,basic_hi,norm_lo,norm_hi,mcse_lo,mcse_hi,p_pct_2sided,p_norm_2sided,obs,null_mean,cond_sd,z_cond,z_boot,holm_pct_2sided,holm_norm_2sided
dt,N0,sil,all,0.014776687525132776,1000,0.01466112805107845,-0.0001155594740543265,0.004291321553873742,0.006529146417362042,0.023475432388261545,0.0060779426620040065,0.023024228632903508,0.006365697279540242,0.02318767777072531,0.00026860505134809054,0.0003548535498224668,0.0,0.0005744733048162326,0.09654049406161969,0.08176380653648692,0.0017864564822628044,8.282061322424104,3.4433885551629144,,
dt,N0,sil,V1_V1,0.004673805698019474,1000,0.004465176288904113,-0.00020862940911536149,0.0040177773406197045,-0.002761947601522394,0.013199641864809864,-0.0038520304687709155,0.012109558997561342,-0.003201037889595147,0.012548649285634095,0.00025611192160071187,0.0004067566930048884,0.242,0.24471534477182944,,,,,1.16328141203031,0.726,0.7341460343154883
dt,N0,sil,HVA_HVA,0.017716459798060157,1000,0.017432092253104128,-0.00028436754495602887,0.008482307456112368,0.0015766976380838797,0.035372475314009236,6.044428211107733e-05,0.033856221958036434,0.001091137184079917,0.034341782412040396,0.0005927656692876645,0.000711422522214292,0.028,0.036740426762885185,,,,,2.0886368349326503,0.196,0.2571829873401963
dt,N0,sil,V1_HVA,0.020946353655257266,1000,0.021238913238206474,0.00029255958294920753,0.012989850503246789,-0.0033963372718109042,0.04621907744138147,-0.004326370130866938,0.04528904458232544,-0.00451375333110644,0.046406460641620975,0.0008636082532954818,0.0007932776331296738,0.094,0.10684950219656217,,,,,1.6125169146497693,0.47,0.5342475109828109
dt,N0,sil,HVA_V1,0.017299013355254488,1000,0.01718459185279736,-0.00011442150245712795,0.007154227465094016,0.003754536232072918,0.03248370408266284,0.002114322627846138,0.030843490478436056,0.0032767275236702167,0.03132129918683876,0.0005046963599357511,0.0007105606621231072,0.006,0.015605529227576397,,,,,2.418012767927439,0.048,0.12484423382061118
dt,N0,Fsil,all,0.0070593018768710354,1000,0.00715662342862257,9.732155175153426e-05,0.0015716373483300205,0.004308930622930286,0.010295603866802446,0.0038229998869396247,0.009809673130811785,0.003978892674144195,0.010139711079597876,0.00010108485246712496,0.0001137051912003071,0.0,7.066146609795388e-06,0.08429365104783017,0.07723434917095914,,,4.491686255975057,,
dt,N0,Fsil,V1_V1,0.0016630728995048094,1000,0.0016703211098485398,7.248210343730344e-06,0.0010118984529537674,-0.00020035054449234267,0.0038814660479013527,-0.0005553202488917338,0.0035264963435019617,-0.0003202480682845746,0.0036463938672941934,6.421473738240921e-05,0.00012053943461498288,0.082,0.10027589047954431,,,,,1.6435175828663842,,
dt,N0,Fsil,HVA_HVA,0.011726111778836748,1000,0.011881972677257203,0.00015586089842045507,0.003385272595688682,0.005576158113862785,0.01862238312038417,0.004829840437289325,0.01787606544381071,0.005090977491286931,0.018361246066386564,0.000207541076765469,0.00025352360772744326,0.0,0.0005324827162394164,,,,,3.4638604270068387,,
dt,N0,Fsil,V1_HVA,0.00727168582783244,1000,0.007547009632315484,0.0002753238044830445,0.005582071554886847,-0.0036002312446519347,0.01861536420683251,-0.004071992551167629,0.018143602900316816,-0.003669174419745779,0.01821254607541066,0.00048655921063581653,0.0005339756385096757,0.17,0.19268202261035083,,,,,1.3026858857562322,,
dt,N0,Fsil,HVA_V1,0.00554833798579885,1000,0.005579752965339043,3.141497954019332e-05,0.001537049839237267,0.0026990555079838747,0.008789280434651355,0.0023073955369463453,0.008397620463613826,0.002535720300893807,0.008560955670703894,0.00010379680536357677,0.0001465930748655954,0.002,0.00030651352804372665,,,,,3.6097319970783195,,
