scen,gamma,sid,code,n_elig,nsyn,npairs,obs:sil,obs:viv,oracle|sil,oracle|sil:null,oracle|viv,oracle|viv:null,N0|sil,N0|sil:null,N0|viv,N0|viv:null,N0|iters,N1|sil,N1|sil:null,N1|sil:csd,N1|sil:z,N1|viv,N1|viv:null,N1|viv:csd,N1|viv:z,N1|iters,N3|sil,N3|sil:null,N3|sil:csd,N3|sil:z,N3|viv,N3|viv:null,N3|viv:csd,N3|viv:z,N3|iters
G15,1.5,0,280aef9f8938,142,7386,6867,0.09479904180978348,0.06671611294869856,0.00997726337534591,0.08482177843443757,0.00645186979025729,0.06026424315844127,0.011573655429755001,0.08322538638002848,0.007680421207602296,0.059035691741096255,5,0.0016105791880952013,0.09318846262168827,0.0012731768426809168,1.26500823303055,0.0010469489438862938,0.06566916400481224,0.0011851138858763434,0.8834163166623583,9,0.0021565195905866663,0.0926425222191968,0.0012148074900625323,1.77519451289822,0.001961123979102185,0.06475498896959636,0.001287366219133992,1.523361379189698,8
G15,1.5,1,280aef9f8938,141,7386,6848,0.09748927096703933,0.06535556383234212,0.013171706199229895,0.08431756476780942,0.005824652993826748,0.05953091083851537,0.013867971696704364,0.08362129927033496,0.006006799350071586,0.05934876448227053,5,0.0019662682101694116,0.09552300275686991,0.0014948177032052038,1.3153899675882341,-0.0002828024579328495,0.06563836629027496,0.0013762302671764298,-0.2054906542006715,9,0.002143155405289351,0.09534611556174999,0.0012237388185543515,1.7513176609214218,-4.101786602340209e-05,0.06539658169836553,0.00131347041018821,-0.031228618250733607,11
G15,1.5,2,280aef9f8938,144,7386,6777,0.0963844048859072,0.0682891154513128,0.01215185818607189,0.08423254669983532,0.008333770019291828,0.05995534543202098,0.013677129389753101,0.0827072754961541,0.00937448084304638,0.05891463460826644,5,0.004949803660319022,0.09143460122558816,0.0013424813467072696,3.6870558182871607,0.004436621254611844,0.06385249419670097,0.0012526538899510372,3.5417774136998523,7,0.004302660020784747,0.09208174486512245,0.0012480742755505245,3.4474390707931604,0.00426546021119837,0.06402365524011443,0.0012064178823536016,3.5356407374175194,7
G15,1.5,3,280aef9f8938,144,7386,6855,0.09445309365510747,0.06614527036798219,0.010107099697586636,0.08434599395752082,0.006206914402536317,0.05993835596544587,0.012567800492343108,0.08188529316276436,0.007962766987283605,0.05818250338069859,5,0.0026497541125990146,0.09180333954250847,0.0011314929135579541,2.3418212176574063,0.0016593650083175674,0.06448590535966463,0.0011907671586233238,1.3935260107744334,7,0.0016699242301426527,0.09278316942496481,0.0012256256309252623,1.3625075944943936,0.0008483756094077784,0.06529689475857442,0.0013416569227828268,0.6323342391049582,9
G15,1.5,4,280aef9f8938,142,7386,6862,0.09372145671187991,0.06490246064193633,0.009821085035679878,0.08390037167620001,0.0054934087174912175,0.0594090519244451,0.01151770810595533,0.08220374860592457,0.0064738426643289925,0.058428617977607324,5,0.0008408485292135437,0.09288060818266636,0.0011850438116861478,0.709550584477663,0.0002680059138607944,0.06463445472807552,0.0013547704451115083,0.19782385630558644,7,0.0005976543649167095,0.09312380234696319,0.0012310109085952692,0.4854988373731835,0.00016167293574229324,0.06474078770619401,0.0013089327380143441,0.12351508297328684,9
G15,1.5,5,280aef9f8938,143,7386,6891,0.0933645246714037,0.0664143214234824,0.00910451716681199,0.08426000750459173,0.006354450555484886,0.06005987086799751,0.012041108980824278,0.08132341569057944,0.008198137880012914,0.05821618354346949,5,0.0035818973212409255,0.08978262735016278,0.0012187344885950166,2.939030079775796,0.0018154212500931758,0.06459890017338923,0.0014049610409890459,1.292150598578292,9,0.003441972408404777,0.08992255226299893,0.0011964472066579857,2.8768276521111003,0.0017073899631840721,0.06470693146029834,0.0013593754298853809,1.2560106102020947,9
G15,1.5,6,280aef9f8938,144,7386,6880,0.09169328921647116,0.06168372258918959,0.007445611495892463,0.08424767772057867,0.0020046358302840926,0.05967908675890551,0.010154053259359423,0.08153923595711172,0.0036511574367627847,0.058032565152426815,5,0.0011048779894376902,0.09058841122703347,0.0012887797738996784,0.8573055007640867,-0.00024803072107002524,0.06193175331025961,0.0012443752473088557,-0.19932148409929248,9,0.0021587275084521745,0.08953456170801899,0.0011754616962987884,1.8364932819584208,0.00038942172295435565,0.061294300866235246,0.0011602886042282351,0.3356248794784804,8
G15,1.5,7,280aef9f8938,143,7386,6858,0.09666124063716844,0.0644733310700897,0.01222757727345422,0.0844336633637142,0.004497137143235397,0.05997619392685431,0.013348760080101564,0.08331248055706689,0.005241893372922921,0.059231437697166774,5,0.004209900031787441,0.092451340605381,0.0012366342443593276,3.4043210844193426,0.0013831418921604252,0.06309018917792927,0.0011559008063819515,1.1965922028290246,8,0.004187026497895467,0.09247421413927297,0.0011189560018466254,3.7419044993597343,0.0013165214863234548,0.06315680958376625,0.0012317330384327449,1.0688367083167587,9
G15,1.5,8,280aef9f8938,142,7386,6849,0.09463530461637837,0.064744321913153,0.010343671609812286,0.08429163300656609,0.004706377604076105,0.060037944309076906,0.011710717322657218,0.08292458729372118,0.005599563065279434,0.05914475884787357,5,0.0017703192904815648,0.09286498532589682,0.0011918602293730784,1.4853413570253597,0.0012963604340190053,0.06344796147913401,0.001305647006160425,0.9928873791326422,8,0.0009823870417913325,0.09365291757458705,0.001290055594627545,0.7615075240807431,0.0011747506343672467,0.06356957127878575,0.0012185950285500708,0.9640205374586241,11
G15,1.5,9,280aef9f8938,143,7386,6888,0.09427611578879215,0.06618542063568254,0.009497371409011792,0.08477874437978036,0.006054442410309802,0.06013097822537274,0.011487673069912952,0.0827884427188792,0.007337100532417531,0.058848320103265024,5,0.0027091508445651257,0.09156696494422703,0.0012526678703102796,2.1627048228626493,0.0010759866735483906,0.06510943396213416,0.0012433183929106565,0.86541523047002,8,0.0028867229300713953,0.09138939285872076,0.0012751743139290093,2.263786918022961,0.001831054469166459,0.06435436616651609,0.0012474978399264988,1.4677816750964017,8
G15,1.5,10,280aef9f8938,144,7386,6922,0.09090543170523234,0.06292561795622868,0.006629320543304118,0.08427611116192821,0.0030795564328687497,0.05984606152335993,0.008313630107783203,0.08259180159744912,0.004267860758363446,0.05865775719786523,5,0.0016595889847149414,0.08924584272051739,0.0011969104331430104,1.3865607139516418,-0.0006694687716012135,0.06359508672782987,0.0012946554301150879,-0.5171018913825598,7,0.0020888122532461955,0.08881661945198613,0.0012691358460514832,1.6458539562528924,-0.0007060119797764677,0.06363162993600514,0.0015201842343508054,-0.4644252741365721,8
G15,1.5,11,280aef9f8938,143,7386,6844,0.09459854148595634,0.06721694009435117,0.00993362155851322,0.08466491992744313,0.007300113049900175,0.05991682704445098,0.01272464098357607,0.08187390050238028,0.008886631806555667,0.0583303082877955,5,0.003305245083150354,0.09129329640280599,0.0014243361002799447,2.320551366001836,0.0016395285208020474,0.06557741157354913,0.0012607594992495059,1.300429242673176,9,0.003607020204070963,0.09099152128188538,0.00114885944705576,3.1396531693366456,0.0027103221154707907,0.06450661797888038,0.0014073075034103182,1.9258918956254312,7
G15,1.5,12,280aef9f8938,140,7386,6900,0.09424097411363011,0.06472945492290652,0.009665447978722368,0.08457552613490775,0.004954252747697605,0.05977520217520892,0.011756258912868927,0.0824847152007612,0.006239686971321592,0.058489767951584934,5,0.0025796659163990795,0.09166130819723103,0.001146745452038896,2.249554085270164,0.0011107280945323445,0.06361872682837418,0.001193641571786075,0.9305373746914117,9,0.0025804697160164655,0.09166050439761365,0.0010560739614230966,2.443455487283478,0.001274366739609992,0.06345508818329654,0.0010806422997709233,1.179267866786387,9
G15,1.5,13,280aef9f8938,142,7386,6892,0.09167417237783815,0.060997704817520565,0.006841873691266816,0.08483229868657133,0.0007121004149491114,0.06028560440257145,0.009334766024343213,0.08233940635349493,0.0024633917332118433,0.058534313084308724,5,-0.00010020397210972661,0.09177437634994785,0.0013098567712071683,-0.07649994588139457,-0.0026036751724424594,0.06360137998996303,0.001415950439180496,-1.8388180125494915,9,0.0009923643415051932,0.09068180803633294,0.0012380988263814268,0.8015227220637643,-0.001879050026568347,0.0628767548440889,0.0012690502297936265,-1.4806742731325293,8
G15,1.5,14,280aef9f8938,144,7386,6881,0.09534275312624002,0.06704912506330185,0.011079185145453403,0.08426356798078663,0.007081862312762437,0.059967262750539416,0.013063405995831032,0.082279347130409,0.00855784550484617,0.05849127955845568,5,0.004864770014843165,0.09047798311139686,0.0011794342943792025,4.124663864724865,0.0037291678478460367,0.0633199572154558,0.0012678105361975621,2.9414236128929936,8,0.005640521914957504,0.08970223121128253,0.001186469167465931,4.754040028705145,0.004172235262413895,0.06287688980088794,0.0013347157799300494,3.125935367777368,9
G15,1.5,15,280aef9f8938,143,7386,6859,0.09307198993260946,0.0676455868640937,0.008484830574923252,0.08458715935768621,0.00755586110188775,0.06008972576220596,0.01091635512799378,0.0821556348046157,0.009071771282969182,0.058573815581124546,5,0.0020262675877146816,0.09104572234489479,0.0012695071810263033,1.59610565264908,0.0015963515049282147,0.0660492353591655,0.0015564212837330374,1.0256551498058455,7,0.002365163568232248,0.09070682636437721,0.0012233075105920618,1.9334170253622867,0.0021789189678312042,0.06546666789626251,0.0013181450146306868,1.6530191622669725,9
