data,role,family,null,measure,scope,estimate,B,cond_sd,z_cond,boot_mean_re_rule,boot_mean_fx_rule,se_boot,z_boot,p_one_sided,p_two_sided,pct_lo,pct_hi,norm_lo,norm_hi,boot_bias,decision_z>=1.645,holm
ding1822,PRIMARY,dt,N1,sil,all,0.006684344677497898,500,0.0011774908868788262,5.65227814752843,0.006190056885636522,0.006281543907723611,0.0029564867446484964,2.2609080489189255,0.011882475803983415,0.02376495160796683,0.0007465447227342738,0.011914213508137466,0.0008896306579868453,0.012479058697008952,-0.0004028007697742869,True,
ding1822,PRIMARY,dt,N1,sil,V1_V1,-0.0004977667387172222,500,,,,,0.0026291212434957556,-0.18932817950053044,0.5750821946709427,0.8498356106581146,-0.005896418168342177,0.004886183418353505,-0.005650844375968903,0.004655310898534459,-0.00020033672430298138,,1.0
ding1822,PRIMARY,dt,N1,sil,HVA_HVA,0.007076015886905375,500,,,,,0.005884920107734789,1.202397952285721,0.11460469109274951,0.22920938218549902,-0.004410835372571059,0.018495416131669756,-0.004458427524254811,0.01861045929806556,-0.0007859331990244921,,1.0
ding1822,PRIMARY,dt,N1,sil,V1_HVA,0.010473998495206298,500,,,,,0.010920219714848654,0.9591380731071179,0.16874459622628407,0.33748919245256814,-0.010223849607862791,0.032219358463457255,-0.010929632145897063,0.03187762913630966,0.00019349267824938544,,1.0
ding1822,PRIMARY,dt,N1,sil,HVA_V1,0.01034569660580683,500,,,,,0.005922968053971007,1.7467081556974866,0.04034398747864198,0.08068797495728396,-0.001588489417831011,0.021713240375797124,-0.001263320779976344,0.021954713991590005,-0.0004143731960458384,,0.6455037996582716
ding1822,secondary,dt,N3,sil,all,0.005966049640662573,500,0.0010986160656898242,5.470172326486469,0.005108411835150852,0.005227370376131782,0.0027349430888762454,2.1814163756928298,0.014576316749358569,0.029152633498717138,2.7404906544891866e-06,0.01054294482869413,0.0006055611864651316,0.011326538094860013,-0.0007386792645307904,True,
ding1822,secondary,dt,N3,sil,V1_V1,-2.4893430181486502e-05,500,,,,,0.002514713694349767,-0.009899111074719474,0.5039491094488715,0.992101781102257,-0.005272369517291512,0.0045990015256973426,-0.00495373227110703,0.004903945410744057,-0.00030332276264127584,,
ding1822,secondary,dt,N3,sil,HVA_HVA,0.00500223710408664,500,,,,,0.005317528076784091,0.9407072293470369,0.17342745660593895,0.3468549132118779,-0.00616828291378121,0.01431601902224603,-0.00542011792641018,0.01542459213458346,-0.0011294422582883742,,
ding1822,secondary,dt,N3,sil,V1_HVA,0.012488922288919858,500,,,,,0.009845096244730487,1.2685424274652937,0.10230215466957726,0.20460430933915452,-0.006135162244494704,0.03168615734710237,-0.006807466350751896,0.03178531092859161,-0.0002476057126357765,,
ding1822,secondary,dt,N3,sil,HVA_V1,0.009657090546871205,500,,,,,0.005818746501083977,1.6596513604901297,0.04849230479792382,0.09698460959584763,-0.0026215092538388308,0.02049246556593546,-0.0017476525952533906,0.0210618336889958,-0.0008645170008087129,,
ding1822,secondary,iv,N1,viv,all,0.003318340074670184,500,0.0012322010951309858,2.699705568360952,0.0032344545782629023,0.002821469686153573,0.0030065499430036785,1.103703626275043,0.13486086104354295,0.2697217220870859,-0.0028890724564214544,0.00889260037911302,-0.002574497813617026,0.009211177962957394,-0.0004968703885166112,False,
ding1822,secondary,iv,N1,viv,V1_V1,-0.002002523345683196,500,,,,,0.003770134982467628,-0.5311542835987545,0.7023440650053971,0.5953118699892057,-0.00966753056257581,0.005119445226149712,-0.009391987911319746,0.005386941219953355,-0.00018069080724114617,,1.0
ding1822,secondary,iv,N1,viv,HVA_HVA,0.0031351776442095376,500,,,,,0.00512893054340276,0.611273172385275,0.2705093742210176,0.5410187484420352,-0.007531751320878815,0.012243904501050654,-0.0069175262208598706,0.013187881509278946,-0.0008969625857887624,,1.0
ding1822,secondary,iv,N1,viv,V1_HVA,0.004404186981543899,500,,,,,0.008462557884608259,0.5204321248489485,0.30138121219536185,0.6027624243907237,-0.011726961817072811,0.02107086283336785,-0.012182426472288288,0.020990800435376086,0.00083247008472437,,1.0
ding1822,secondary,iv,N1,viv,HVA_V1,0.007406056954350135,500,,,,,0.007092326638264563,1.044235175857938,0.1481882980738557,0.2963765961477114,-0.006800923018835654,0.02107811859852769,-0.006494903256648409,0.021307017165348677,-0.0008869760991535545,,1.0
ding1822,secondary,iv,N3,viv,all,0.0027135855332483766,500,0.0011805244867598367,2.2556332447799,0.002448722758960292,0.002018030573289404,0.0029860950516857965,0.9087405076795613,0.18174355826438604,0.3634871165287721,-0.004129713741741808,0.008106478387176728,-0.0031391607680557846,0.008566331834552538,-0.0006955549599589727,False,
ding1822,secondary,iv,N3,viv,V1_V1,-0.0004699433592391577,500,,,,,0.003402999076061376,-0.13809682246022506,0.5549180514870125,0.8901638970259751,-0.008011927779993783,0.006031803864708966,-0.007139821548319454,0.006199934829841138,-0.0003074350350361381,,
ding1822,secondary,iv,N3,viv,HVA_HVA,0.0019735775808371356,500,,,,,0.004970349035103184,0.39707021919360325,0.345657840098303,0.691315680196606,-0.009448631960649942,0.010486824089915367,-0.007768306527965105,0.011715461689639377,-0.001147775856871994,,
ding1822,secondary,iv,N3,viv,V1_HVA,0.005383367745523648,500,,,,,0.008149939268744237,0.6605408418403013,0.25445340907841796,0.5089068181568359,-0.010545897101231315,0.020073012981252705,-0.010590513221215058,0.021357248712262356,0.00027747828018054657,,
ding1822,secondary,iv,N3,viv,HVA_V1,0.005324443226146696,500,,,,,0.007196264490700101,0.7398898738404622,0.22968340962281625,0.4593668192456325,-0.008821603513061842,0.018312980751095026,-0.008780235175625501,0.019429121627918895,-0.0008843958142931768,,
ding1822,comparator,dt,N0,sil,all,0.011827244694387748,0,0.0015992288686228027,7.433848987892072,,,,,,,,,,,,,
ding1822,comparator,dt,N0,sil,V1_V1,0.003905227403756552,0,,,,,,,,,,,,,,,
ding1822,comparator,dt,N0,sil,HVA_HVA,0.012415224462130049,0,,,,,,,,,,,,,,,
ding1822,comparator,dt,N0,sil,V1_HVA,0.016237481589576233,0,,,,,,,,,,,,,,,
ding1822,comparator,dt,N0,sil,HVA_V1,0.015542924541726283,0,,,,,,,,,,,,,,,
ding1822,comparator,iv,N0,viv,all,0.0073624043912885575,0,0.0016390715269763345,4.53888296638365,,,,,,,,,,,,,
ding1822,comparator,iv,N0,viv,V1_V1,0.0013957776408637717,0,,,,,,,,,,,,,,,
ding1822,comparator,iv,N0,viv,HVA_HVA,0.007473409099923973,0,,,,,,,,,,,,,,,
ding1822,comparator,iv,N0,viv,V1_HVA,0.007296626309082433,0,,,,,,,,,,,,,,,
ding1822,comparator,iv,N0,viv,HVA_V1,0.011967491957025695,0,,,,,,,,,,,,,,,
new1822,PRIMARY,dt,N1,sil,all,0.0013590128187728286,200,0.00038718995193252106,3.725812617063274,0.0019049390116030968,0.0014420382123944697,0.0011038408084327147,1.2311674005805413,0.10913013059323101,0.21826026118646202,-0.000836698307166562,0.0035265234539964595,-0.0008045151657552921,0.0035225408033009494,8.302539362164117e-05,False,
new1822,PRIMARY,dt,N1,sil,V1_V1,0.0018614131895116149,200,,,,,0.0009147175877668234,2.034959439291026,0.02092747718448085,0.0418549543689617,0.00010361242228561973,0.0034154234564096053,6.856671748864114e-05,0.0036542596615345884,6.667429701881543e-05,,0.3348396349516936
new1822,PRIMARY,dt,N1,sil,HVA_HVA,0.003908079668701065,200,,,,,0.007501918753956015,0.520944014041768,0.3012028865036048,0.6024057730072097,-0.010803593590154988,0.01936424755884607,-0.010795681089052723,0.018611840426454855,0.00025217061454657717,,1.0
new1822,PRIMARY,dt,N1,sil,V1_HVA,-0.000907253964693984,200,,,,,0.003955801924944016,-0.22934767258520505,0.5907006482983364,0.8185987034033274,-0.008425900263894585,0.006453449688545802,-0.008660625737584254,0.0068461178081962865,0.00020679404026762403,,1.0
new1822,PRIMARY,dt,N1,sil,HVA_V1,-0.002476407967628349,200,,,,,0.009118922487308587,-0.271568046671625,0.607022914292092,0.785954171415816,-0.01857463701034548,0.01595356622705138,-0.02034949604275318,0.015396680107496483,-0.0010463444519590794,,1.0
new1822,secondary,dt,N3,sil,all,0.0017176699191663394,200,0.00038387309135713487,4.489750314560687,0.0018444391821565965,0.0013975209250363025,0.0010425958886366076,1.6474934707564592,0.04972832858133812,0.09945665716267624,-0.0006333444292670425,0.0033004045724965244,-0.00032581802256141114,0.0037611578608940897,-0.0003201489941300369,True,
new1822,secondary,dt,N3,sil,V1_V1,0.002325520081266209,200,,,,,0.0008508152345764875,2.7332844861714176,0.0031353072545775872,0.0062706145091551745,0.0003289779428902224,0.0036241929743575096,0.0006579222214962933,0.003993117941036124,-0.00016124944981137264,,
new1822,secondary,dt,N3,sil,HVA_HVA,0.0020974216380828135,200,,,,,0.006957918613905319,0.30144383032752653,0.38153803794936714,0.7630760758987343,-0.01077153135565374,0.013722003446095112,-0.011540098845171612,0.01573494212133724,-0.000466510439992096,,
new1822,secondary,dt,N3,sil,V1_HVA,-0.00011533509374473561,200,,,,,0.0038579273605835384,-0.029895610509185527,0.5119248467036976,0.9761503065926047,-0.008139214071377177,0.006250533599125129,-0.0076768727204884705,0.007446202532999,-0.0006916462681020452,,
new1822,secondary,dt,N3,sil,HVA_V1,-0.0038366506954913824,200,,,,,0.009359238290776496,-0.40993193850747356,0.6590720621720079,0.6818558756559843,-0.023739043359552525,0.01228421836620946,-0.022180757745413313,0.014507456354430548,-0.0021978555354804073,,
new1822,secondary,iv,N1,viv,all,0.0019162439064286932,200,0.0004271744512142608,4.570385936721173,0.0023762821492200603,0.001996051372881451,0.0010562015952293423,1.8142785573170834,0.03481742553418056,0.06963485106836112,3.662698697191308e-05,0.003946749815866257,-0.00015391122022081778,0.003986399033078204,7.980746645275781e-05,True,
new1822,secondary,iv,N1,viv,V1_V1,0.0020599295076909534,200,,,,,0.0011061180666683793,1.8623052726147473,0.03128003635275056,0.06256007270550112,0.0002658419370043742,0.0042977685353613885,-0.00010806190297907,0.004227920918360977,0.00015253419657324527,,0.43792050893850787
new1822,secondary,iv,N1,viv,HVA_HVA,0.004186399488922182,200,,,,,0.005662033064526046,0.739380968145691,0.22983784780605726,0.4596756956121145,-0.006697279263829093,0.015283622517644872,-0.0069111853175488685,0.015283984295393231,-0.00010102882560355381,,1.0
new1822,secondary,iv,N1,viv,V1_HVA,0.0007737962185359179,200,,,,,0.0037948184489037264,0.2039086267116303,0.4192124517857716,0.8384249035715432,-0.006301662168800865,0.008379214912168951,-0.006664047941315386,0.008211640378387222,-0.00012199868789917524,,1.0
new1822,secondary,iv,N1,viv,HVA_V1,0.001122597442749573,200,,,,,0.010185889612191329,0.11021103560811753,0.45612100522086946,0.9122420104417389,-0.01763228682547062,0.023184393362459196,-0.01884174619714543,0.021086941082644577,-0.00018053555713364272,,1.0
new1822,secondary,iv,N3,viv,all,0.0022589218490514144,200,0.00038459651248515757,5.686096653101169,0.0022938778235389594,0.0019703931822317505,0.0010525209758075803,2.146201264367377,0.01592846238030497,0.03185692476060994,9.488837688155964e-05,0.0038867965361383226,0.00019598073646855682,0.0043218629616342714,-0.00028852866681966386,True,
new1822,secondary,iv,N3,viv,V1_V1,0.0026287530571641837,200,,,,,0.001121080806669072,2.344838161108717,0.009517670058339575,0.01903534011667915,0.0002973996235535576,0.004734682918470891,0.0004314346760928025,0.004826071438235565,-0.0001329486129374468,,
new1822,secondary,iv,N3,viv,HVA_HVA,0.00126251585555527,200,,,,,0.005179814380783394,0.24373766369680747,0.40371700073485084,0.8074340014697017,-0.008447439759085063,0.012052391485504613,-0.008889920330780182,0.01141495204189072,-2.9438998564329435e-05,,
