scen,gamma,sid,code,n_elig,nsyn,npairs,obs:sil,obs:viv,oracle|sil,oracle|sil:null,oracle|viv,oracle|viv:null,N0|sil,N0|sil:null,N0|viv,N0|viv:null,N0|iters,N1|sil,N1|sil:null,N1|sil:csd,N1|sil:z,N1|viv,N1|viv:null,N1|viv:csd,N1|viv:z,N1|iters,N3|sil,N3|sil:null,N3|sil:csd,N3|sil:z,N3|viv,N3|viv:null,N3|viv:csd,N3|viv:z,N3|iters
G2,2.0,0,280aef9f8938,141,7386,6800,0.10010778889636437,0.0704534817101424,0.01565105392482423,0.08445673497154015,0.010367764336243812,0.06008571737389859,0.0161719624388559,0.0839358264575085,0.010658826572860823,0.05979465513728158,5,0.002994551279727321,0.09711323761663707,0.0012446191139844965,2.4059981452001247,0.0019122356554436297,0.06854124605469877,0.0013531189053572134,1.4132059258597185,8,0.002103361959210969,0.0980044269371534,0.0013058714453919355,1.6106960349222432,0.0015851637850670141,0.06886831792507538,0.00132086517133945,1.2000950736399134,8
G2,2.0,1,280aef9f8938,143,7386,6807,0.1003192483758676,0.06987747625651916,0.015700265571828558,0.08461898280403903,0.009906480229629947,0.05997099602688923,0.01716905054660389,0.08315019782926372,0.010995041952522497,0.05888243430399667,5,0.002273650538598814,0.09804559783726878,0.0013045471146931862,1.7428657907334755,0.0011796324549777867,0.06869784380154138,0.001509021307587159,0.7817202110048089,8,0.0020772066562551464,0.09824204171961247,0.0014019900223587922,1.4816130094566073,0.0015883875547582059,0.06828908870176097,0.0014060233516225483,1.129702115491332,7
G2,2.0,2,280aef9f8938,144,7386,6796,0.09924219886077064,0.0672248701333024,0.01500965216093533,0.08423254669983532,0.007269524701281425,0.05995534543202098,0.01681651371521754,0.0824256851455531,0.008841108077636344,0.05838376205566606,5,0.007407753848864206,0.09183444501190643,0.0013177061646484991,5.62170387268412,0.0030880925577980896,0.06413677757550432,0.0012314260766290864,2.5077368559966295,9,0.007220219646137915,0.09202197921463272,0.0012213609268357972,5.911618332873538,0.003220267006465132,0.06400460312683727,0.0013667441576730923,2.356159335590428,7
G2,2.0,3,280aef9f8938,139,7386,6679,0.10541358030235554,0.07103984776038329,0.020755246162116426,0.08465833414023913,0.010650709322146,0.060389138438237275,0.022801694803119683,0.08261188549923586,0.012047967832209098,0.058991879928174173,5,0.00746480251854271,0.09794877778381282,0.001357715338418931,5.498061565125665,0.0027419421236158717,0.0682979056367674,0.001329510879294244,2.062369075965291,9,0.007885413678436193,0.09752816662391935,0.001257934052916903,6.268542981368111,0.0030899962030654445,0.06794985155731782,0.0012532486275872014,2.465589137739105,10
G2,2.0,4,280aef9f8938,142,7386,6785,0.09882316188099187,0.07180065056174367,0.014475171952343553,0.08434798992864828,0.012196899249897098,0.05960375131184657,0.01578034637184226,0.0830428155091496,0.012935021448844388,0.05886562911289928,5,0.005282683654831939,0.0935404782261599,0.0012871089235754025,4.104301942183268,0.0056317459941788205,0.06616890456756486,0.0012203425076636018,4.614889638615507,8,0.005145256622271852,0.09367790525871998,0.001244031257450649,4.13595445569097,0.005781686675392805,0.06601896388635087,0.0012986703174190277,4.452004945245308,10
G2,2.0,5,280aef9f8938,142,7386,6736,0.09789832334835888,0.06998580306882216,0.013385679575475236,0.08451264377288364,0.009857677935882384,0.06012812513293978,0.013704393119029093,0.08419393022932978,0.01020385455876225,0.059781948510059926,5,0.005754535175404423,0.09214378817295447,0.0012501983625285357,4.602897706381435,0.005040065580487456,0.0649457374883347,0.0013881631084655009,3.630744506716383,8,0.006138089693794877,0.09176023365456401,0.0011240747425310456,5.460570780172431,0.005734703427685344,0.0642510996411368,0.0012185667903963954,4.706105133408293,10
G2,2.0,6,280aef9f8938,142,7386,6833,0.09995416013906316,0.06926028955423373,0.01523655550390724,0.08471760463515593,0.009153239690195238,0.06010704986403851,0.017586496344652973,0.08236766379441023,0.010514810244502315,0.05874547930973143,5,0.0059796777458019906,0.0939744823932612,0.0012696001458301872,4.709890563136239,0.003148207558506486,0.06611208199572728,0.0013400101791290568,2.3493907789213004,8,0.005636626138450371,0.09431753400061281,0.0011963806377139703,4.711398664241815,0.00349744814100163,0.06576284141323213,0.0012972834829779042,2.695978316915949,7
G2,2.0,7,280aef9f8938,141,7386,6727,0.10134991563345842,0.07130573123911972,0.016540764679757593,0.08480915095370083,0.011115559148679493,0.06019017209044024,0.01862407986420272,0.08272583576925568,0.012562610574225428,0.05874312066489429,5,0.006014442818554507,0.09533547281490393,0.001073247245319096,5.6039676270180445,0.004948496521272203,0.06635723471784753,0.0012943206646292699,3.823238441989638,8,0.005040623988122177,0.09630929164533623,0.0012204026047408013,4.130295992929927,0.004316398827498343,0.06698933241162137,0.0014213617389161944,3.036805275755945,9
G2,2.0,8,280aef9f8938,144,7386,6798,0.0932427300796807,0.06578886929785756,0.008837750634626718,0.084404979445054,0.005800124770568398,0.05998874452728916,0.010655148568810661,0.08258758151087005,0.00716948172820954,0.05861938756964802,5,0.003085223094248279,0.09015750698543243,0.0012333182057566179,2.501562921756719,-0.0013234149222631267,0.06711228422012068,0.0014256317325835794,-0.928300690855687,10,0.0027025935818846963,0.09054013649779602,0.0013148719917595345,2.0554043274342937,-0.0003676806836099887,0.06615654998146756,0.0014205710717611552,-0.2588259685973726,11
G2,2.0,9,280aef9f8938,142,7386,6846,0.10284512733804939,0.07046994752541122,0.01792411247218335,0.08492101486586606,0.01023570195078834,0.060234245574622876,0.020916683467655767,0.08192844387039365,0.012167550522036647,0.05830239700337457,5,0.007248268653907991,0.09559685868414142,0.0012259977043714806,5.912138846641548,0.003896673324615112,0.0665732742007961,0.0012596935382041619,3.093350252610066,8,0.0065867425260999635,0.09625838481194944,0.0012819174387617427,5.1381955864976545,0.003735002149105335,0.06673494537630588,0.0013789930312652363,2.708499654765074,9
G2,2.0,10,280aef9f8938,141,7386,6779,0.09995638826168796,0.07145667232053453,0.015543417986089941,0.08441297027559802,0.011304964799262775,0.06015170752127175,0.01601947566081054,0.08393691260087742,0.011669219925937674,0.05978745239459685,5,0.00760426692762104,0.09235212133406692,0.0012725081495609998,5.975810001880477,0.006793131444711057,0.06466354087582345,0.0012250861652627128,5.545023392909108,8,0.005744979292413188,0.09421140896927477,0.001239772344450866,4.6338985686584415,0.005645870923229284,0.06581080139730523,0.0012189564883245262,4.631724739403633,8
G2,2.0,11,280aef9f8938,143,7386,6779,0.09939802003860948,0.06927045808882261,0.015083467022589505,0.08431455301601998,0.009334448576493072,0.059936009512329545,0.017191195750057238,0.08220682428855224,0.010671982065801236,0.05859847602302137,5,0.004487084420701904,0.09491093561790757,0.001141920084015479,3.929420704225989,0.0025775374576622184,0.06669292063116039,0.0014588394978109877,1.7668410140593638,8,0.004465327992080804,0.09493269204652868,0.0012212493690930107,3.6563605313442933,0.003118888857840987,0.06615156923098163,0.0013454697780074785,2.3180668260418194,9
G2,2.0,12,280aef9f8938,143,7386,6746,0.10092118616596127,0.06967078474921615,0.016882258408042174,0.08403892775791912,0.009856904489166266,0.059813880260049884,0.018743035601589044,0.08217815056437225,0.011037086402394905,0.05863369834682125,5,0.006152276887141117,0.09476890927882017,0.0013934286738189867,4.415207611796517,0.003150872165339806,0.06651991258387634,0.001243922445072225,2.5330133545076916,8,0.0059904679700030815,0.0949307181959582,0.001175754515133662,5.094998907422502,0.003278723741005321,0.06639206100821082,0.0012960207449890222,2.529838934818202,10
G2,2.0,13,280aef9f8938,142,7386,6765,0.09983775159151898,0.06973453683743906,0.015164645851400307,0.08467310574011867,0.009537234138810042,0.06019730269862903,0.017104243574264207,0.08273350801725478,0.010988293053118362,0.058746243784320716,5,0.004425762050469386,0.0954119895410496,0.0014713025401981582,3.0080570987618325,0.00265144880077556,0.0670830880366635,0.0016004983768054153,1.6566394813019647,8,0.004400102581083322,0.09543764901043567,0.0012011829856835212,3.6631409481541124,0.0028798005389696862,0.06685473629846939,0.0012434205776786788,2.3160309477473326,9
