sid,N0,N1,N2,N2_boot_sd,N2_boot_lo,N2_boot_hi
0,0.002482489341114986,-0.0013372482579124118,-0.0007492108141067774,0.0028268653916280495,-0.0061093636056119205,0.004302591641375579
1,0.002265967916222705,-0.00030079821170095664,6.857854103682341e-06,0.0028173471426426525,-0.00543966534816631,0.005289943834541102
2,-0.000814211125576289,-0.0007623925177873182,-0.0009358423966358509,0.0032133633075915186,-0.007301057160573153,0.004725382089284826
3,0.003792796605293144,0.001533798124798925,0.0008165049416710275,0.002738955107378629,-0.004345570823654387,0.005174811820418348
4,0.001933861827256118,0.0017283680667225028,0.0005327258103702273,0.0034241969857836518,-0.006794225549267004,0.006723665846228254
5,0.0021811995724394457,-0.001486027376641402,-0.0012297784956728799,0.003273956191955202,-0.006072040250065596,0.006252572759274215
6,-0.0002248459195701121,-0.0012314027951423187,-0.0013584003165925582,0.002450176830352289,-0.005399498466563932,0.0031442580061926653
7,0.004390122356624412,-9.169243768635552e-05,-0.0009429160932006511,0.0024600026434964195,-0.005965646374611362,0.004014452459897689
8,0.007167192657244627,0.0005746882433278071,0.0006390463580077631,0.0029527474314822743,-0.005351343331719303,0.005053509150826522
9,0.0008023279295695498,-0.0011277041316281318,-0.001752904533588865,0.0028070149068607836,-0.006584461707293449,0.0038333062922028195
10,0.0010349405497901622,-0.001549178733177488,-0.0015539581034222944,0.003001726878880154,-0.008537417691833239,0.00314558000695227
11,0.0023677790450095776,-0.0007224537708768077,-0.00043011753942402215,0.0031361498647769588,-0.006331870515131021,0.0048095186737177895
12,0.003659318560423687,0.00033034307101612124,0.0008486890412787751,0.002767145483686019,-0.004165149639551242,0.005647071657669433
13,0.0024721066767923517,0.0002547419809886949,0.0005929888890976855,0.0030450792491566233,-0.005946678522177227,0.004989269996201917
14,0.0013663284705796447,0.000864267287401683,0.0017304313812432734,0.002604214322709287,-0.003831788963715799,0.005841596307771662
15,0.003680734155558235,0.0014427844999139235,0.0010686873911961007,0.002847417289737497,-0.004086598315622905,0.006595962153573862
16,0.0016079523303110666,-0.0005609437261290427,-0.0006864744912695405,0.0031213558715846687,-0.00640657642001359,0.004641338946448838
17,0.002114964191077596,-0.00041792466526149164,-0.00025874242190366425,0.0025404637530606843,-0.006467805312582211,0.003984665919628596
18,0.0017944257246374777,0.0002168139979132873,0.0007868389378200641,0.0029569399076342243,-0.004509521445607594,0.005457450806860939
19,0.0028709943811034764,-0.0011126226532835906,-0.0005021033796768278,0.0029932419790573415,-0.006206586030869792,0.005273392984687826
20,0.006549552641014872,0.003830481513923437,0.00274965106841199,0.0028541077577133164,-0.002609817384601366,0.008467425913801542
21,0.0031455948554075584,-0.001958823675279032,-0.002850704664389881,0.002972441135090709,-0.00873426888504325,0.002813676157430798
22,0.00388834678995835,-0.00048212734247675534,-0.001016580334035828,0.0029671664331681357,-0.006575806260150966,0.0028482603734848117
23,-0.000553988455941395,-0.00197738802498798,-0.0022011928251113944,0.0031056277665622275,-0.008567412467374467,0.002983151750782312
24,0.0046400388864678175,0.0019343059956735348,0.0012848810439971437,0.003024351851037309,-0.004491915714762611,0.00703258988070441
25,0.0016514445971141656,-8.893323252202638e-05,-0.000572502896542831,0.003352898959396461,-0.0060625044581099855,0.0057525276788952355
26,-0.0012131370114766503,-0.002526970262121539,-0.003239794712784235,0.003579366032058744,-0.010431027028776576,0.003502130058813577
27,0.001198174182656641,4.1605756961658684e-05,-0.00021151525839401396,0.003139483608714769,-0.007423826694810356,0.0038566506349933622
28,0.004426760438761736,0.0009510036318070966,0.0020470828392661765,0.003500001298786054,-0.004913766860376963,0.009249527658565581
29,0.004482095173070208,-8.210327239703491e-05,6.582219829890126e-05,0.002878196309971847,-0.006243670297090675,0.00582728406300338
30,0.0034176648792899693,-0.0008827006905605681,-0.0017751410785617216,0.0032569761074198638,-0.006652197355482805,0.005222923365965519
31,-0.0007038872146977647,-0.0025948411173539465,-0.0029032104984986055,0.002676076988724265,-0.007119165573670504,0.002033778495148122
32,0.005729506500419183,0.0006035103468744556,-0.0006413643839909668,0.0030687040217316254,-0.007818471727101322,0.00407004922157475
33,0.0030434660377724656,0.0014975849732655614,0.001186071328658608,0.003274538030614124,-0.00470786281541749,0.006921624023448294
34,-0.0007652072959425475,0.00018740677425942997,-0.0011009033246608107,0.003525129106513589,-0.008396995913115131,0.004220186317762328
35,-0.0006236799356932136,-0.00034254013868034554,-0.0001696343497205435,0.003071158436162027,-0.006325472511381788,0.005126670118197754
36,0.002470291656816087,-0.0003221152129294047,-0.0004783837680911683,0.0031709879894138487,-0.005861367594853733,0.005057328411010388
37,0.0036343861117101883,0.0005219246583922703,0.0005499133757142061,0.0030338469116554545,-0.004734203863898495,0.0061973247755488705
38,0.0021071598590645863,0.0003147506308294757,-0.00026305287076461666,0.002841656401632728,-0.005833918112799247,0.004551297016386775
39,0.0003911281550159406,0.0006252904281733503,0.0003533717065160205,0.003101271238358025,-0.005557294471768614,0.0048224489317174315
40,0.0018449359945829744,-0.0009936011644993273,-0.0016270897948012812,0.003096109955113697,-0.006557539995588621,0.0041160170382598645
41,0.0019079428012579727,0.0007511354678662409,0.001254649976408448,0.0031712823436630794,-0.005916830487636847,0.005959888155911113
42,0.002993277709498611,0.0009991066770055708,0.0003892063494468518,0.003175345656552585,-0.005015513596206546,0.0072670773346188095
43,0.0036012796526234164,0.00014278001329428054,-0.00019810856005885157,0.0032285864439911666,-0.005701671651208262,0.006082163556276401
44,0.000928308986556768,-0.0023761871358187795,-0.003415149982443924,0.0028312448760650036,-0.008281731983372582,0.0016352164856997986
45,0.0007699176099792869,-0.00033147358539262266,0.0003298787007729018,0.002787527589924585,-0.005195861908374538,0.005409033896522309
46,0.0006494238000212542,-0.0007448633970248365,-0.0015324219992722077,0.002687955340716581,-0.005998232294885206,0.0036981543859291497
47,-0.0001894060918283598,-0.001674777513785712,-0.0015569200610334323,0.003533657785855743,-0.008153745434909702,0.007906901809683778
48,-9.795193929898452e-05,-0.0013689403837995769,-0.0016846789439011272,0.0032363394697345837,-0.007129427641260747,0.0044170995176355385
49,0.003127029845228448,0.0010811964816472752,0.000615746729931381,0.003189128679806245,-0.00558843141008906,0.006393481911645603
50,0.004368006804077466,-0.00012136797780734935,0.0002946257463928755,0.002695481592299875,-0.004890139575809502,0.004701941511750589
51,0.0027572202739174654,0.0016076064657099848,0.001044754469562143,0.003339400494102939,-0.0055414142810391994,0.006712300230429724
52,0.003482783061361217,0.00282327967512445,0.0024687951440847304,0.0030106690106180686,-0.0030513662170733903,0.007767499183251346
53,0.003179125990881019,-0.0006145003992016708,-0.0010096509293533997,0.0028260918149675355,-0.00598659301889345,0.004416122869792823
54,-0.00041181817902981034,-0.0015009639146114917,-0.0029003925003397496,0.00288061899281243,-0.008847144443763529,0.002714060866267088
55,-0.001920935630389612,-0.0006251479697035536,-0.00047906843778397907,0.0033952675788666985,-0.006143602917025045,0.005968952895924766
56,0.0018423361851708311,4.5141734526093385e-05,0.0004909833176270465,0.002961946478510688,-0.004596036673755998,0.005185797029045085
57,0.003616128737023621,-0.0005959449711184466,-0.000828694311757549,0.002638137146273281,-0.005175759800478212,0.004307714863517147
