scen,gamma,sid,code,n_elig,nsyn,npairs,obs:sil,obs:viv,oracle|sil,oracle|sil:null,oracle|viv,oracle|viv:null,N0|sil,N0|sil:null,N0|viv,N0|viv:null,N0|iters,N1|sil,N1|sil:null,N1|sil:csd,N1|sil:z,N1|viv,N1|viv:null,N1|viv:csd,N1|viv:z,N1|iters,N3|sil,N3|sil:null,N3|sil:csd,N3|sil:z,N3|viv,N3|viv:null,N3|viv:csd,N3|viv:z,N3|iters
L,0.0,0,280aef9f8938,143,7386,6818,0.0892878687043413,0.061903773069698124,0.0027505386124382298,0.08653733009190306,0.0004549746705024678,0.06144879839919566,0.007232876561554999,0.08205499214278629,0.003589359574069289,0.05831441349562883,5,0.001242692125015129,0.08804517657932619,0.0011959587430615663,1.0390760820343423,8.490627610752552e-05,0.06181886679359059,0.0013068129007558268,0.06497202167075174,9,0.001130907939285708,0.0881569607650556,0.001241740342982517,0.910744299866587,-7.01853985684665e-05,0.061973958468266574,0.001219843221140672,-0.05753640906643424,9
L,0.0,1,280aef9f8938,143,7386,6864,0.08711179153121146,0.05900167579366255,0.002040590709933464,0.08507120082127799,-0.0015159356983753445,0.06051761149203789,0.006576961127555665,0.08053483040365579,0.0013796364656142937,0.057622039328048234,5,0.004547136995768339,0.08256465453544314,0.0012806294993689736,3.550704554290626,0.0007969608116565436,0.058204714982006,0.0011903838315224112,0.6694990225440905,9,0.003059083444788496,0.08405270808642298,0.0011353644406580951,2.694362563456144,-0.0004308849367139699,0.05943256073037651,0.0013978697283032445,-0.30824398582333173,8
L,0.0,2,280aef9f8938,144,7386,6862,0.08629635359270028,0.058601822025799014,7.274448392193741e-05,0.08622360910877834,-0.002321424107066756,0.06092324613286577,0.004892041090304233,0.08140431250239605,0.0006287346046385104,0.0579730874211605,5,0.0022075729379549863,0.08408878065474529,0.0012043359620177998,1.8330208576154425,-0.0008755055269307211,0.059477327552729733,0.001370525646633161,-0.6388100281680184,9,0.0006928800907294017,0.0856034735019709,0.0011494380312292625,0.602798995599966,-0.0016932723077159326,0.06029509433351494,0.0012131906875491349,-1.3957181876631857,11
L,0.0,3,280aef9f8938,144,7386,6867,0.08312885940581566,0.0569824324169074,-0.003023835198717592,0.08615269460453326,-0.004121184483788689,0.06110361690069609,0.0020858308751245387,0.08104302853069113,-0.0006317819226189791,0.057614214339526376,5,0.0008855193090744355,0.08224334009674122,0.0009689932345438899,0.913854996615383,-2.0800177229592138e-05,0.057003232594137004,0.0013302165573811043,-0.01563668495492417,9,-0.0013742880765995776,0.08450314748241523,0.001134277284905747,-1.211597988329436,-0.0013360606441227437,0.058318493061030145,0.0011566509364015574,-1.1551113668565778,9
L,0.0,4,280aef9f8938,144,7386,6859,0.08443804432221527,0.06177017782929385,-0.00017478107617627885,0.08461282539839154,0.0013422750429511225,0.060427902786342726,0.002615557932973473,0.08182248638924178,0.0035798277276659443,0.0581903501016279,5,1.7890862685136633e-06,0.08443625523594675,0.0013151311653408133,0.001360386184787907,0.0011508872731116795,0.060619290556182176,0.001356401672061416,0.8484855900852716,9,0.0006326781312414822,0.08380536619097377,0.0011670387392280137,0.5421226476680573,0.0015715960357071599,0.06019858179358669,0.0012291215697929386,1.2786335170831926,9
L,0.0,5,280aef9f8938,144,7386,6883,0.08361529931227306,0.056648550197176246,-0.0009204352652086717,0.08453573457748173,-0.003409110221232836,0.06005766041840907,0.0037406413465159005,0.07987465796575716,-0.0004534189670320314,0.057101969164208274,5,0.002216183588087471,0.08139911572418558,0.0012766222468074083,1.7359744385073412,0.0006400647648949587,0.056008485432281284,0.001381919634179679,0.46317075831613563,7,0.001788885375876961,0.0818264139363961,0.0011530769109388752,1.5514016098201018,0.0002590155970825753,0.05638953460009366,0.0012205112603694717,0.21221893274804068,10
L,0.0,6,280aef9f8938,144,7386,6856,0.0850363459154651,0.06068998253204464,0.0007556300081668807,0.08428071590729821,0.0006776597697239107,0.06001232276232074,0.0049573503258561625,0.08007899558960893,0.0035485967501958076,0.057141385781848845,5,0.0023213064089770484,0.08271503950648805,0.001087087613383125,2.1353443645199044,0.001756039990440814,0.05893394254160383,0.0012115061773017364,1.4494684578099817,10,0.0009339229992438384,0.08410242291622125,0.001168370372678735,0.7993381389007865,0.0008924659217370691,0.05979751661030757,0.0013921639270014097,0.6410638175774004,9
L,0.0,7,280aef9f8938,141,7386,6874,0.0824098851669969,0.057595039013337436,-0.0010080430883947567,0.08341792825539167,-0.0018980775270120475,0.05949311654034948,0.0010414172073826247,0.08136846795961429,-0.0006344883404901072,0.05822952735382754,5,-0.00040970509587191973,0.08281959026286882,0.0011868751756200972,-0.3451964488665494,-0.0006806065306142625,0.0582756455439517,0.0013162357309577544,-0.5170855908303155,10,-0.0016526180989980981,0.08406250326599501,0.001234690950530947,-1.3384872532575316,-0.0014565284071853162,0.059051567420522755,0.0012232459170291284,-1.1907077611366617,8
L,0.0,8,280aef9f8938,143,7386,6875,0.08817309999567231,0.06226566135177899,0.002965196824275202,0.0852079031713971,0.0019420195020303055,0.060323641849748685,0.0073778390493600835,0.08079526094631223,0.0046013095185733046,0.05766435183320568,5,0.0030713446969722873,0.08510175529870002,0.0013409312765129437,2.2904564542332384,0.002964150634758634,0.059301510717020355,0.0013484490113137887,2.198192597487,8,0.0021913871143623247,0.08598171288131,0.001146341107943248,1.911636160631181,0.0017779988473505647,0.06048766250442841,0.0013151284071996744,1.3519583621013012,9
L,0.0,9,280aef9f8938,142,7386,6840,0.08177051966711966,0.060329946399089715,-0.00195428162609979,0.08372480129321944,0.00037717868743851116,0.059952767711651186,0.0012247176839474297,0.08054580198317224,0.002771402508020808,0.05755854389106889,5,-0.002507095014087585,0.08427761468120724,0.0011591763777212888,-2.1628244521476856,6.86403599203878e-08,0.060329877758729784,0.0012970200358394736,5.292158796603441e-05,7,-0.002340578563892851,0.08411109823101251,0.001064149294173051,-2.1994832649038325,-0.0004466108428926063,0.06077655724198232,0.001162305508869625,-0.38424565614160083,8
L,0.0,10,280aef9f8938,143,7386,6908,0.08579360119060515,0.06150201810410141,0.0030628907478057483,0.08273071044279943,0.0025302911407180887,0.0589717269633833,0.004908221855017601,0.08088537933558758,0.0038643284660485003,0.0576376896380529,5,0.003649983979555872,0.08214361721104929,0.001146649102743174,3.1831743214413817,0.003031503399138554,0.05847051470496283,0.0011647152602457423,2.6027849918433623,8,0.002292487956288266,0.08350111323431691,0.001137056539240107,2.016160038814193,0.002466739927885691,0.0590352781762157,0.001273760106586947,1.9365812409491654,9
L,0.0,11,280aef9f8938,143,7386,6885,0.08254583699388815,0.05807774477423909,-0.002012781103883054,0.08455861809777118,-0.00207630195626067,0.06015404673049976,0.0015225221859635457,0.0810233148079246,0.00018987076147759961,0.05788787401276148,5,-0.0012932737173642,0.08383911071125233,0.0011368825037494095,-1.1375614569658836,-0.0006194376266259509,0.05869718240086504,0.0012890129601838172,-0.48055189960046424,7,-0.0018165688230524662,0.08436240581694063,0.0011407147563676791,-1.5924829699204341,-0.0013912020001950113,0.0594689467744341,0.0012856082313326045,-1.0821352619630888,9
