  pass: 646 boxes done, 108 to split
  pass: 704 boxes done, 100 to split
  pass: 757 boxes done, 94 to split
  pass: 806 boxes done, 90 to split
  pass: 856 boxes done, 80 to split
  pass: 906 boxes done, 60 to split
  pass: 952 boxes done, 28 to split
  pass: 977 boxes done, 6 to split
  pass: 983 boxes done, 0 to split
{'CERTIFIED': 983} time 119 s
