# a_re a_im b_re b_im | D on the segment ball | D(a)
1283/912 38/5 527/380 38/5 | [7e+2 +/- 32.2] + [-5.3e+2 +/- 8.40]j | [7.24e+2 +/- 0.536] + [-5.31e+2 +/- 0.407]j
527/380 38/5 6233/4560 38/5 | [7e+2 +/- 33.6] + [-5e+2 +/- 31.5]j | [7.26e+2 +/- 0.236] + [-5.27e+2 +/- 0.531]j
6233/4560 38/5 3071/2280 38/5 | [7.3e+2 +/- 9.12] + [-5.2e+2 +/- 7.36]j | [727.2 +/- 0.0739] + [-5.22e+2 +/- 0.495]j
3071/2280 38/5 2017/1520 38/5 | [7.3e+2 +/- 7.78] + [-5e+2 +/- 23.3]j | [7.29e+2 +/- 0.518] + [-518.3 +/- 0.0767]j
2017/1520 38/5 149/114 38/5 | [7.3e+2 +/- 7.56] + [-5.1e+2 +/- 9.12]j | [729.9 +/- 0.0755] + [-5.14e+2 +/- 0.248]j
149/114 38/5 5869/4560 38/5 | [7.3e+2 +/- 8.88] + [-5.1e+2 +/- 9.00]j | [7.31e+2 +/- 0.301] + [-5.10e+2 +/- 0.124]j
5869/4560 38/5 963/760 38/5 | [7e+2 +/- 40.2] + [-5e+2 +/- 10.9]j | [7.33e+2 +/- 0.524] + [-5.06e+2 +/- 0.147]j
963/760 38/5 5687/4560 38/5 | [7e+2 +/- 41.5] + [-5.0e+2 +/- 7.25]j | [7.34e+2 +/- 0.215] + [-501.8 +/- 0.0773]j
5687/4560 38/5 1399/1140 38/5 | [7e+2 +/- 42.8] + [-5e+2 +/- 11.4]j | [7.35e+2 +/- 0.228] + [-497.7 +/- 0.0924]j
1399/1140 38/5 367/304 38/5 | [7.4e+2 +/- 9.90] + [-4.9e+2 +/- 8.48]j | [7.36e+2 +/- 0.516] + [-4.94e+2 +/- 0.516]j
367/304 38/5 2707/2280 38/5 | [7.4e+2 +/- 8.62] + [-4.9e+2 +/- 9.60]j | [7.38e+2 +/- 0.351] + [-4.89e+2 +/- 0.508]j
2707/2280 38/5 5323/4560 38/5 | [7.4e+2 +/- 7.36] + [-5e+2 +/- 23.8]j | [739.0 +/- 0.0852] + [-485.3 +/- 0.0844]j
5323/4560 38/5 109/95 38/5 | [7.4e+2 +/- 7.83] + [-4.8e+2 +/- 7.84]j | [7.40e+2 +/- 0.313] + [-481.2 +/- 0.0842]j
109/95 38/5 5141/4560 38/5 | [7.4e+2 +/- 9.07] + [-5e+2 +/- 32.0]j | [741.5 +/- 0.0863] + [-4.77e+2 +/- 0.139]j
5141/4560 38/5 505/456 38/5 | [7e+2 +/- 50.3] + [-4.7e+2 +/- 7.85]j | [742.7 +/- 0.0888] + [-4.73e+2 +/- 0.130]j
505/456 38/5 87/80 38/5 | [7e+2 +/- 51.5] + [-5e+2 +/- 40.2]j | [7.44e+2 +/- 0.132] + [-468.8 +/- 0.0921]j
87/80 38/5 1217/1140 38/5 | [7e+2 +/- 52.8] + [-4.6e+2 +/- 9.60]j | [7.45e+2 +/- 0.222] + [-464.7 +/- 0.0753]j
1217/1140 38/5 4777/4560 38/5 | [7e+2 +/- 53.9] + [-4.6e+2 +/- 8.44]j | [7.46e+2 +/- 0.422] + [-4.61e+2 +/- 0.498]j
4777/4560 38/5 781/760 38/5 | [7.5e+2 +/- 8.82] + [-5e+2 +/- 52.6]j | [7.48e+2 +/- 0.531] + [-4.56e+2 +/- 0.524]j
781/760 38/5 919/912 38/5 | [7.5e+2 +/- 7.65] + [-4.5e+2 +/- 7.23]j | [748.7 +/- 0.0889] + [-4.52e+2 +/- 0.401]j
919/912 38/5 563/570 38/5 | [7.5e+2 +/- 7.42] + [-4e+2 +/- 53.2]j | [749.9 +/- 0.0844] + [-448.2 +/- 0.0778]j
563/570 38/5 1471/1520 38/5 | [7.5e+2 +/- 8.57] + [-4.4e+2 +/- 8.98]j | [7.51e+2 +/- 0.113] + [-444.1 +/- 0.0883]j
1471/1520 38/5 2161/2280 38/5 | [7.5e+2 +/- 9.72] + [-4.4e+2 +/- 9.06]j | [752.2 +/- 0.0824] + [-4.40e+2 +/- 0.111]j
2161/2280 38/5 4231/4560 38/5 | [8e+2 +/- 53.1] + [-4e+2 +/- 40.8]j | [7.53e+2 +/- 0.393] + [-4.36e+2 +/- 0.234]j
4231/4560 38/5 69/76 38/5 | [8e+2 +/- 52.0] + [-4.3e+2 +/- 7.30]j | [7.54e+2 +/- 0.517] + [-431.7 +/- 0.0876]j
69/76 38/5 4049/4560 38/5 | [8e+2 +/- 50.9] + [-4e+2 +/- 32.5]j | [7.56e+2 +/- 0.513] + [-427.6 +/- 0.0790]j
4049/4560 38/5 1979/2280 38/5 | [7.6e+2 +/- 9.73] + [-4.2e+2 +/- 8.35]j | [7.57e+2 +/- 0.412] + [-4.23e+2 +/- 0.544]j
1979/2280 38/5 1289/1520 38/5 | [7.6e+2 +/- 8.67] + [-4.2e+2 +/- 9.67]j | [7.58e+2 +/- 0.322] + [-4.19e+2 +/- 0.423]j
1289/1520 38/5 236/285 38/5 | [7.6e+2 +/- 7.57] + [-4e+2 +/- 20.2]j | [7.59e+2 +/- 0.243] + [-4.15e+2 +/- 0.302]j
236/285 38/5 737/912 38/5 | [7.6e+2 +/- 7.37] + [-4.1e+2 +/- 7.90]j | [759.9 +/- 0.0751] + [-411.1 +/- 0.0804]j
737/912 38/5 599/760 38/5 | [7.6e+2 +/- 8.42] + [-4e+2 +/- 11.9]j | [7.61e+2 +/- 0.118] + [-407.0 +/- 0.0954]j
599/760 38/5 3503/4560 38/5 | [7.6e+2 +/- 9.46] + [-4.0e+2 +/- 7.74]j | [762.0 +/- 0.0799] + [-4.03e+2 +/- 0.217]j
3503/4560 38/5 853/1140 38/5 | [8e+2 +/- 43.4] + [-4e+2 +/- 10.3]j | [7.63e+2 +/- 0.115] + [-3.99e+2 +/- 0.338]j
853/1140 38/5 1107/1520 38/5 | [8e+2 +/- 42.4] + [-3.9e+2 +/- 9.49]j | [7.64e+2 +/- 0.142] + [-394.6 +/- 0.0914]j
1107/1520 38/5 17/24 38/5 | [8e+2 +/- 41.4] + [-3.9e+2 +/- 8.49]j | [765.1 +/- 0.0942] + [-390.5 +/- 0.0834]j
17/24 38/5 3139/4560 38/5 | [8e+2 +/- 40.4] + [-4e+2 +/- 22.7]j | [766.1 +/- 0.0906] + [-3.86e+2 +/- 0.447]j
3139/4560 38/5 127/190 38/5 | [7.7e+2 +/- 9.35] + [-3.8e+2 +/- 7.11]j | [7.67e+2 +/- 0.151] + [-3.82e+2 +/- 0.326]j
127/190 38/5 2957/4560 38/5 | [7.7e+2 +/- 8.37] + [-4e+2 +/- 30.9]j | [7.68e+2 +/- 0.133] + [-3.78e+2 +/- 0.203]j
2957/4560 38/5 1433/2280 38/5 | [7.7e+2 +/- 7.40] + [-3.7e+2 +/- 8.86]j | [7.69e+2 +/- 0.102] + [-374.0 +/- 0.0802]j
1433/2280 38/5 185/304 38/5 | [7.7e+2 +/- 7.37] + [-3.7e+2 +/- 9.08]j | [770.0 +/- 0.0855] + [-369.9 +/- 0.0919]j
185/304 38/5 671/1140 38/5 | [7.7e+2 +/- 8.31] + [-4e+2 +/- 43.2]j | [7.71e+2 +/- 0.137] + [-3.66e+2 +/- 0.314]j
671/1140 38/5 2593/4560 38/5 | [7.7e+2 +/- 9.26] + [-3.6e+2 +/- 7.34]j | [7.72e+2 +/- 0.199] + [-3.62e+2 +/- 0.435]j
2593/4560 38/5 417/760 38/5 | [8e+2 +/- 33.7] + [-4e+2 +/- 51.5]j | [772.8 +/- 0.0722] + [-357.5 +/- 0.0906]j
417/760 38/5 2411/4560 38/5 | [8e+2 +/- 32.8] + [-3.5e+2 +/- 8.23]j | [773.7 +/- 0.0877] + [-353.4 +/- 0.0775]j
2411/4560 38/5 29/57 38/5 | [8e+2 +/- 31.9] + [-3.5e+2 +/- 9.68]j | [7.75e+2 +/- 0.451] + [-3.49e+2 +/- 0.347]j
29/57 38/5 743/1520 38/5 | [8e+2 +/- 31.0] + [-3e+2 +/- 50.0]j | [775.5 +/- 0.0861] + [-3.45e+2 +/- 0.225]j
743/1520 38/5 1069/2280 38/5 | [8e+2 +/- 30.1] + [-3.4e+2 +/- 7.93]j | [776.4 +/- 0.0732] + [-3.41e+2 +/- 0.103]j
1069/2280 38/5 2047/4560 38/5 | [7.8e+2 +/- 9.19] + [-3e+2 +/- 41.8]j | [7.77e+2 +/- 0.341] + [-336.9 +/- 0.0813]j
2047/4560 38/5 163/380 38/5 | [7.8e+2 +/- 8.34] + [-3.3e+2 +/- 7.63]j | [7.78e+2 +/- 0.202] + [-332.8 +/- 0.0855]j
163/380 38/5 373/912 38/5 | [7.8e+2 +/- 7.49] + [-3e+2 +/- 33.5]j | [779.0 +/- 0.0899] + [-3.29e+2 +/- 0.407]j
373/912 38/5 887/2280 38/5 | [7.8e+2 +/- 7.13] + [-3.2e+2 +/- 9.38]j | [779.8 +/- 0.0907] + [-3.25e+2 +/- 0.529]j
887/2280 38/5 561/1520 38/5 | [7.8e+2 +/- 7.95] + [-3.2e+2 +/- 8.53]j | [7.81e+2 +/- 0.423] + [-3.20e+2 +/- 0.495]j
561/1520 38/5 199/570 38/5 | [7.8e+2 +/- 8.76] + [-3e+2 +/- 21.2]j | [7.81e+2 +/- 0.536] + [-316.3 +/- 0.0732]j
199/570 38/5 79/240 38/5 | [7.8e+2 +/- 9.57] + [-3.1e+2 +/- 7.02]j | [7.82e+2 +/- 0.343] + [-3.12e+2 +/- 0.252]j
79/240 38/5 47/152 38/5 | [8e+2 +/- 23.5] + [-3e+2 +/- 12.9]j | [7.83e+2 +/- 0.138] + [-3.08e+2 +/- 0.131]j
47/152 38/5 1319/4560 38/5 | [8e+2 +/- 22.7] + [-3.0e+2 +/- 8.76]j | [7.84e+2 +/- 0.220] + [-3.04e+2 +/- 0.136]j
1319/4560 38/5 307/1140 38/5 | [8e+2 +/- 21.9] + [-3.0e+2 +/- 9.13]j | [7.85e+2 +/- 0.446] + [-299.8 +/- 0.0871]j
307/1140 38/5 379/1520 38/5 | [8e+2 +/- 21.2] + [-3e+2 +/- 13.3]j | [785.4 +/- 0.0832] + [-295.7 +/- 0.0782]j
379/1520 38/5 523/2280 38/5 | [8e+2 +/- 20.4] + [-2.9e+2 +/- 7.36]j | [7.86e+2 +/- 0.209] + [-2.92e+2 +/- 0.500]j
523/2280 38/5 191/912 38/5 | [7.9e+2 +/- 9.61] + [-3e+2 +/- 21.5]j | [7.87e+2 +/- 0.192] + [-2.87e+2 +/- 0.524]j
191/912 38/5 18/95 38/5 | [7.9e+2 +/- 8.90] + [-2.8e+2 +/- 8.14]j | [787.6 +/- 0.0789] + [-2.83e+2 +/- 0.402]j
18/95 38/5 773/4560 38/5 | [7.9e+2 +/- 8.17] + [-2.8e+2 +/- 9.70]j | [7.88e+2 +/- 0.398] + [-279.2 +/- 0.0806]j
773/4560 38/5 341/2280 38/5 | [7.9e+2 +/- 7.45] + [-3e+2 +/- 33.9]j | [7.89e+2 +/- 0.106] + [-275.1 +/- 0.0846]j
341/2280 38/5 197/1520 38/5 | [7.9e+2 +/- 6.89] + [-2.7e+2 +/- 7.91]j | [7.90e+2 +/- 0.339] + [-2.71e+2 +/- 0.106]j
197/1520 38/5 25/228 38/5 | [7.9e+2 +/- 7.55] + [-3e+2 +/- 42.1]j | [790.4 +/- 0.0880] + [-2.67e+2 +/- 0.228]j
25/228 38/5 409/4560 38/5 | [7.9e+2 +/- 8.21] + [-2.6e+2 +/- 7.46]j | [791.1 +/- 0.0786] + [-2.63e+2 +/- 0.349]j
409/4560 38/5 53/760 38/5 | [7.9e+2 +/- 8.88] + [-3e+2 +/- 50.3]j | [7.92e+2 +/- 0.315] + [-258.6 +/- 0.0753]j
53/760 38/5 227/4560 38/5 | [7.9e+2 +/- 9.55] + [-2.5e+2 +/- 9.24]j | [792.4 +/- 0.0803] + [-254.5 +/- 0.0915]j
227/4560 38/5 17/570 38/5 | [8e+2 +/- 13.5] + [-2.5e+2 +/- 8.54]j | [7.93e+2 +/- 0.123] + [-2.50e+2 +/- 0.435]j
17/570 38/5 3/304 38/5 | [8e+2 +/- 12.9] + [-2e+2 +/- 51.1]j | [793.7 +/- 0.0906] + [-2.46e+2 +/- 0.314]j
3/304 38/5 -23/2280 38/5 | [8e+2 +/- 12.3] + [-2.4e+2 +/- 6.96]j | [794.3 +/- 0.0742] + [-242.1 +/- 0.0926]j
-23/2280 38/5 -137/4560 38/5 | [8e+2 +/- 11.8] + [-2e+2 +/- 42.9]j | [794.9 +/- 0.0816] + [-238.0 +/- 0.0751]j
-137/4560 38/5 -1/20 38/5 | [8e+2 +/- 11.2] + [-2.3e+2 +/- 8.77]j | [795.5 +/- 0.0821] + [-2.34e+2 +/- 0.199]j
