# a_re a_im b_re b_im | D on the segment ball | D(a)
8713/2280 38/5 3467/912 38/5 | [4.8e+2 +/- 7.92] + [-1.03e+3 +/- 9.01]j | [4.78e+2 +/- 0.468] + [-1.030e+3 +/- 0.153]j
3467/912 38/5 1437/380 38/5 | [4.8e+2 +/- 8.54] + [-1.0e+3 +/- 30.7]j | [4.80e+2 +/- 0.402] + [-1025.8 +/- 0.0960]j
1437/380 38/5 17153/4560 38/5 | [5e+2 +/- 22.6] + [-1.02e+3 +/- 7.27]j | [483.0 +/- 0.0919] + [-1.022e+3 +/- 0.410]j
17153/4560 38/5 449/120 38/5 | [5e+2 +/- 19.9] + [-1.0e+3 +/- 22.4]j | [4.86e+2 +/- 0.421] + [-1.018e+3 +/- 0.539]j
449/120 38/5 5657/1520 38/5 | [4.9e+2 +/- 7.24] + [-1.01e+3 +/- 8.25]j | [4.88e+2 +/- 0.416] + [-1.013e+3 +/- 0.510]j
5657/1520 38/5 211/57 38/5 | [4.9e+2 +/- 9.19] + [-1.01e+3 +/- 9.67]j | [4.91e+2 +/- 0.110] + [-1009.3 +/- 0.0951]j
211/57 38/5 16789/4560 38/5 | [5e+2 +/- 12.0] + [-1.0e+3 +/- 10.0]j | [4.94e+2 +/- 0.471] + [-1.005e+3 +/- 0.253]j
16789/4560 38/5 2783/760 38/5 | [5.0e+2 +/- 9.35] + [-1.0e+3 +/- 7.93]j | [4.96e+2 +/- 0.332] + [-1.001e+3 +/- 0.125]j
2783/760 38/5 16607/4560 38/5 | [5.0e+2 +/- 7.07] + [-1e+3 +/- 12.1]j | [4.99e+2 +/- 0.226] + [-996.9 +/- 0.0957]j
16607/4560 38/5 4129/1140 38/5 | [5.0e+2 +/- 9.67] + [-9.9e+2 +/- 7.63]j | [5.01e+2 +/- 0.555] + [-9.93e+2 +/- 0.309]j
4129/1140 38/5 1095/304 38/5 | [5e+2 +/- 12.3] + [-1e+3 +/- 20.4]j | [5.04e+2 +/- 0.151] + [-9.89e+2 +/- 0.437]j
1095/304 38/5 8167/2280 38/5 | [5.1e+2 +/- 8.98] + [-9.8e+2 +/- 9.37]j | [5.07e+2 +/- 0.439] + [-9.85e+2 +/- 0.565]j
8167/2280 38/5 16243/4560 38/5 | [5.1e+2 +/- 7.42] + [-9.8e+2 +/- 8.59]j | [5.09e+2 +/- 0.309] + [-980.4 +/- 0.0928]j
16243/4560 38/5 673/190 38/5 | [5e+2 +/- 20.0] + [-1e+3 +/- 32.8]j | [5.12e+2 +/- 0.302] + [-9.76e+2 +/- 0.354]j
673/190 38/5 16061/4560 38/5 | [5e+2 +/- 22.6] + [-9.7e+2 +/- 7.00]j | [5.14e+2 +/- 0.423] + [-9.72e+2 +/- 0.226]j
16061/4560 38/5 1597/456 38/5 | [5.2e+2 +/- 8.79] + [-1e+3 +/- 41.0]j | [5.17e+2 +/- 0.209] + [-9.68e+2 +/- 0.0972]j
1597/456 38/5 5293/1520 38/5 | [5.2e+2 +/- 7.60] + [-9.6e+2 +/- 8.75]j | [519.4 +/- 0.0933] + [-9.64e+2 +/- 0.205]j
5293/1520 38/5 3947/1140 38/5 | [5e+2 +/- 30.2] + [-9.6e+2 +/- 9.24]j | [5.22e+2 +/- 0.160] + [-9.60e+2 +/- 0.333]j
3947/1140 38/5 15697/4560 38/5 | [5e+2 +/- 32.7] + [-1e+3 +/- 53.4]j | [5.24e+2 +/- 0.521] + [-9.56e+2 +/- 0.461]j
15697/4560 38/5 2601/760 38/5 | [5.3e+2 +/- 8.76] + [-9.5e+2 +/- 7.50]j | [5.27e+2 +/- 0.154] + [-951.5 +/- 0.0886]j
2601/760 38/5 3103/912 38/5 | [5.3e+2 +/- 7.60] + [-9e+2 +/- 52.3]j | [5.29e+2 +/- 0.505] + [-9.47e+2 +/- 0.457]j
3103/912 38/5 964/285 38/5 | [5e+2 +/- 40.1] + [-9.4e+2 +/- 8.12]j | [531.9 +/- 0.0907] + [-9.43e+2 +/- 0.329]j
964/285 38/5 269/80 38/5 | [5e+2 +/- 42.6] + [-9.4e+2 +/- 9.90]j | [5.34e+2 +/- 0.445] + [-9.39e+2 +/- 0.201]j
269/80 38/5 7621/2280 38/5 | [5.4e+2 +/- 8.92] + [-9.3e+2 +/- 9.87]j | [5.37e+2 +/- 0.272] + [-9.35e+2 +/- 0.0997]j
7621/2280 38/5 15151/4560 38/5 | [5.4e+2 +/- 7.42] + [-9.3e+2 +/- 8.15]j | [5.39e+2 +/- 0.342] + [-9.31e+2 +/- 0.228]j
15151/4560 38/5 251/76 38/5 | [5.4e+2 +/- 9.85] + [-9e+2 +/- 31.7]j | [5.42e+2 +/- 0.397] + [-9.27e+2 +/- 0.355]j
251/76 38/5 14969/4560 38/5 | [5e+2 +/- 52.3] + [-9.2e+2 +/- 7.50]j | [5.44e+2 +/- 0.195] + [-922.6 +/- 0.0889]j
14969/4560 38/5 7439/2280 38/5 | [5.5e+2 +/- 9.24] + [-9e+2 +/- 23.4]j | [5.47e+2 +/- 0.565] + [-9.18e+2 +/- 0.562]j
7439/2280 38/5 4929/1520 38/5 | [5.5e+2 +/- 7.08] + [-9.1e+2 +/- 9.25]j | [5.49e+2 +/- 0.165] + [-9.14e+2 +/- 0.434]j
4929/1520 38/5 1837/570 38/5 | [5.5e+2 +/- 9.46] + [-9.1e+2 +/- 8.81]j | [551.3 +/- 0.0929] + [-9.10e+2 +/- 0.306]j
1837/570 38/5 2921/912 38/5 | [6e+2 +/- 52.1] + [-9e+2 +/- 11.0]j | [5.54e+2 +/- 0.398] + [-906.1 +/- 0.0925]j
2921/912 38/5 2419/760 38/5 | [5.6e+2 +/- 9.74] + [-9.0e+2 +/- 7.07]j | [5.56e+2 +/- 0.138] + [-9.02e+2 +/- 0.120]j
