# a_re a_im b_re b_im | D on the segment ball | D(a)
9/2 159/50 9/2 16/5 | [-2.7e+2 +/- 7.66] + [-4.9e+2 +/- 7.10]j | [-268.9 +/- 0.0781] + [-489.9 +/- 0.0915]j
9/2 16/5 9/2 161/50 | [-2.7e+2 +/- 9.41] + [-5e+2 +/- 11.2]j | [-2.67e+2 +/- 0.219] + [-4.93e+2 +/- 0.110]j
9/2 161/50 9/2 81/25 | [-3e+2 +/- 41.2] + [-5.0e+2 +/- 8.11]j | [-265.4 +/- 0.0705] + [-4.96e+2 +/- 0.106]j
9/2 81/25 9/2 163/50 | [-2.6e+2 +/- 8.47] + [-5.0e+2 +/- 6.37]j | [-2.64e+2 +/- 0.423] + [-499.1 +/- 0.0876]j
9/2 163/50 9/2 82/25 | [-2.6e+2 +/- 6.70] + [-5.0e+2 +/- 9.45]j | [-261.9 +/- 0.0929] + [-502.2 +/- 0.0698]j
9/2 82/25 9/2 33/10 | [-2.6e+2 +/- 6.51] + [-5.1e+2 +/- 8.88]j | [-260.1 +/- 0.0738] + [-505.3 +/- 0.0824]j
9/2 33/10 9/2 83/25 | [-2.6e+2 +/- 8.31] + [-5.1e+2 +/- 5.80]j | [-258.3 +/- 0.0700] + [-5.08e+2 +/- 0.434]j
9/2 83/25 9/2 167/50 | [-3e+2 +/- 50.2] + [-5.1e+2 +/- 8.71]j | [-256.5 +/- 0.0681] + [-5.11e+2 +/- 0.517]j
9/2 167/50 9/2 84/25 | [-2.5e+2 +/- 9.50] + [-5.2e+2 +/- 9.65]j | [-254.7 +/- 0.0816] + [-5.15e+2 +/- 0.537]j
9/2 84/25 9/2 169/50 | [-2.5e+2 +/- 7.68] + [-5.2e+2 +/- 6.57]j | [-2.53e+2 +/- 0.206] + [-517.6 +/- 0.0804]j
9/2 169/50 9/2 17/5 | [-2.5e+2 +/- 5.84] + [-5.2e+2 +/- 7.97]j | [-251.0 +/- 0.0956] + [-520.7 +/- 0.0735]j
9/2 17/5 9/2 171/50 | [-2.5e+2 +/- 7.48] + [-5e+2 +/- 31.1]j | [-249.2 +/- 0.0872] + [-523.8 +/- 0.0917]j
9/2 171/50 9/2 86/25 | [-2.5e+2 +/- 9.35] + [-5.3e+2 +/- 7.34]j | [-247.3 +/- 0.0933] + [-5.27e+2 +/- 0.210]j
9/2 86/25 9/2 173/50 | [-2e+2 +/- 50.3] + [-5.3e+2 +/- 7.23]j | [-2.45e+2 +/- 0.526] + [-5.30e+2 +/- 0.129]j
9/2 173/50 9/2 87/25 | [-2.4e+2 +/- 8.39] + [-5e+2 +/- 40.4]j | [-243.6 +/- 0.0906] + [-533.0 +/- 0.0907]j
9/2 87/25 9/2 7/2 | [-2.4e+2 +/- 6.49] + [-5.4e+2 +/- 8.10]j | [-241.7 +/- 0.0801] + [-536.1 +/- 0.0728]j
9/2 7/2 9/2 88/25 | [-2.4e+2 +/- 6.92] + [-5.4e+2 +/- 6.48]j | [-239.8 +/- 0.0805] + [-539.2 +/- 0.0831]j
9/2 88/25 9/2 177/50 | [-2.4e+2 +/- 8.84] + [-5.4e+2 +/- 9.57]j | [-237.9 +/- 0.0918] + [-5.42e+2 +/- 0.337]j
9/2 177/50 9/2 89/25 | [-2e+2 +/- 40.8] + [-5.5e+2 +/- 8.87]j | [-2.36e+2 +/- 0.114] + [-5.45e+2 +/- 0.419]j
9/2 89/25 9/2 179/50 | [-2.3e+2 +/- 8.82] + [-5.5e+2 +/- 5.79]j | [-234.0 +/- 0.0927] + [-5.48e+2 +/- 0.501]j
9/2 179/50 9/2 18/5 | [-2.3e+2 +/- 6.87] + [-5.5e+2 +/- 8.82]j | [-232.1 +/- 0.0908] + [-551.5 +/- 0.0828]j
9/2 18/5 9/2 181/50 | [-2.3e+2 +/- 6.63] + [-5.6e+2 +/- 9.63]j | [-2.30e+2 +/- 0.195] + [-554.6 +/- 0.0748]j
9/2 181/50 9/2 91/25 | [-2.3e+2 +/- 8.60] + [-5.6e+2 +/- 6.55]j | [-2.28e+2 +/- 0.230] + [-557.7 +/- 0.0932]j
9/2 91/25 9/2 183/50 | [-2e+2 +/- 31.0] + [-5.6e+2 +/- 8.08]j | [-226.2 +/- 0.0876] + [-5.61e+2 +/- 0.312]j
9/2 183/50 9/2 92/25 | [-2.2e+2 +/- 8.98] + [-6e+2 +/- 40.4]j | [-224.2 +/- 0.0750] + [-5.64e+2 +/- 0.231]j
9/2 92/25 9/2 37/10 | [-2.2e+2 +/- 6.98] + [-5.7e+2 +/- 7.31]j | [-222.2 +/- 0.0731] + [-5.67e+2 +/- 0.149]j
9/2 37/10 9/2 93/25 | [-2.2e+2 +/- 6.60] + [-5.7e+2 +/- 7.33]j | [-220.2 +/- 0.0821] + [-570.0 +/- 0.0741]j
9/2 93/25 9/2 187/50 | [-2.2e+2 +/- 8.63] + [-6e+2 +/- 31.2]j | [-2.18e+2 +/- 0.240] + [-573.1 +/- 0.0853]j
9/2 187/50 9/2 94/25 | [-2e+2 +/- 21.0] + [-5.8e+2 +/- 8.08]j | [-2.16e+2 +/- 0.210] + [-5.76e+2 +/- 0.238]j
9/2 94/25 9/2 189/50 | [-2.1e+2 +/- 8.87] + [-5.8e+2 +/- 6.58]j | [-214.1 +/- 0.0746] + [-5.79e+2 +/- 0.320]j
9/2 189/50 9/2 19/5 | [-2.1e+2 +/- 6.81] + [-5.8e+2 +/- 9.66]j | [-2.12e+2 +/- 0.116] + [-5.82e+2 +/- 0.402]j
9/2 19/5 9/2 191/50 | [-2.1e+2 +/- 6.85] + [-5.9e+2 +/- 8.84]j | [-210.0 +/- 0.0906] + [-585.4 +/- 0.0832]j
9/2 191/50 9/2 96/25 | [-2.1e+2 +/- 8.93] + [-5.9e+2 +/- 5.83]j | [-207.9 +/- 0.0786] + [-588.5 +/- 0.0779]j
9/2 96/25 9/2 193/50 | [-2e+2 +/- 10.6] + [-5.9e+2 +/- 8.92]j | [-2.06e+2 +/- 0.250] + [-5.92e+2 +/- 0.497]j
9/2 193/50 9/2 97/25 | [-2.0e+2 +/- 8.48] + [-6.0e+2 +/- 9.60]j | [-2.04e+2 +/- 0.347] + [-5.95e+2 +/- 0.416]j
9/2 97/25 9/2 39/10 | [-2.0e+2 +/- 6.37] + [-6.0e+2 +/- 6.52]j | [-201.6 +/- 0.0914] + [-5.98e+2 +/- 0.334]j
9/2 39/10 9/2 98/25 | [-2.0e+2 +/- 7.36] + [-6.0e+2 +/- 8.16]j | [-199.5 +/- 0.0739] + [-600.8 +/- 0.0917]j
9/2 98/25 9/2 197/50 | [-2.0e+2 +/- 9.50] + [-6e+2 +/- 11.3]j | [-1.97e+2 +/- 0.446] + [-603.9 +/- 0.0734]j
9/2 197/50 9/2 99/25 | [-2e+2 +/- 11.7] + [-6.1e+2 +/- 7.28]j | [-1.95e+2 +/- 0.307] + [-607.0 +/- 0.0895]j
9/2 99/25 9/2 199/50 | [-1.9e+2 +/- 7.81] + [-6.1e+2 +/- 7.41]j | [-193.1 +/- 0.0891] + [-6.10e+2 +/- 0.137]j
9/2 199/50 9/2 4 | [-1.9e+2 +/- 5.97] + [-6e+2 +/- 20.5]j | [-1.91e+2 +/- 0.151] + [-6.13e+2 +/- 0.219]j
9/2 4 9/2 201/50 | [-1.9e+2 +/- 8.15] + [-6.2e+2 +/- 8.04]j | [-1.89e+2 +/- 0.323] + [-6.16e+2 +/- 0.300]j
9/2 201/50 9/2 101/25 | [-2e+2 +/- 20.4] + [-6.2e+2 +/- 6.66]j | [-1.87e+2 +/- 0.506] + [-619.3 +/- 0.0813]j
9/2 101/25 9/2 203/50 | [-1.8e+2 +/- 9.09] + [-6.2e+2 +/- 9.74]j | [-1.84e+2 +/- 0.448] + [-622.4 +/- 0.0833]j
9/2 203/50 9/2 102/25 | [-1.8e+2 +/- 6.88] + [-6.3e+2 +/- 8.80]j | [-1.82e+2 +/- 0.243] + [-6.25e+2 +/- 0.545]j
9/2 102/25 9/2 41/10 | [-1.8e+2 +/- 6.97] + [-6.3e+2 +/- 5.91]j | [-1.80e+2 +/- 0.120] + [-6.29e+2 +/- 0.521]j
9/2 41/10 9/2 103/25 | [-1.8e+2 +/- 9.21] + [-6.3e+2 +/- 8.99]j | [-1.78e+2 +/- 0.347] + [-6.32e+2 +/- 0.440]j
9/2 103/25 9/2 207/50 | [-2e+2 +/- 31.5] + [-6.4e+2 +/- 9.56]j | [-175.5 +/- 0.0835] + [-634.7 +/- 0.0887]j
9/2 207/50 9/2 104/25 | [-1.7e+2 +/- 7.93] + [-6.4e+2 +/- 6.47]j | [-1.73e+2 +/- 0.317] + [-637.8 +/- 0.0776]j
9/2 104/25 9/2 209/50 | [-1.7e+2 +/- 5.97] + [-6.4e+2 +/- 8.24]j | [-171.0 +/- 0.0908] + [-6.41e+2 +/- 0.197]j
9/2 209/50 9/2 21/5 | [-1.7e+2 +/- 8.24] + [-6e+2 +/- 51.4]j | [-168.7 +/- 0.0881] + [-6.44e+2 +/- 0.116]j
9/2 21/5 9/2 211/50 | [-2e+2 +/- 40.6] + [-6.5e+2 +/- 7.23]j | [-1.66e+2 +/- 0.508] + [-6.47e+2 +/- 0.115]j
9/2 211/50 9/2 106/25 | [-1.6e+2 +/- 8.81] + [-6.5e+2 +/- 7.48]j | [-1.64e+2 +/- 0.217] + [-6.50e+2 +/- 0.196]j
9/2 106/25 9/2 213/50 | [-1.6e+2 +/- 6.50] + [-7e+2 +/- 51.1]j | [-1.62e+2 +/- 0.236] + [-653.2 +/- 0.0767]j
9/2 213/50 9/2 107/25 | [-1.6e+2 +/- 7.46] + [-6.6e+2 +/- 7.99]j | [-1.60e+2 +/- 0.550] + [-656.3 +/- 0.0916]j
9/2 107/25 9/2 43/10 | [-1.6e+2 +/- 9.78] + [-6.6e+2 +/- 6.73]j | [-157.2 +/- 0.0767] + [-6.59e+2 +/- 0.440]j
9/2 43/10 9/2 108/25 | [-1.5e+2 +/- 9.52] + [-6.6e+2 +/- 9.81]j | [-1.55e+2 +/- 0.209] + [-6.62e+2 +/- 0.521]j
9/2 108/25 9/2 217/50 | [-1.5e+2 +/- 7.16] + [-6.7e+2 +/- 8.75]j | [-1.53e+2 +/- 0.555] + [-6.66e+2 +/- 0.549]j
9/2 217/50 9/2 109/25 | [-1.5e+2 +/- 6.84] + [-6.7e+2 +/- 5.97]j | [-1.50e+2 +/- 0.240] + [-668.6 +/- 0.0826]j
9/2 109/25 9/2 219/50 | [-1.5e+2 +/- 9.21] + [-6.7e+2 +/- 9.05]j | [-147.8 +/- 0.0796] + [-671.7 +/- 0.0872]j
9/2 219/50 9/2 22/5 | [-1e+2 +/- 50.1] + [-6.8e+2 +/- 9.51]j | [-145.4 +/- 0.0932] + [-6.75e+2 +/- 0.307]j
9/2 22/5 9/2 221/50 | [-1.4e+2 +/- 7.65] + [-6.8e+2 +/- 6.43]j | [-1.43e+2 +/- 0.104] + [-6.78e+2 +/- 0.226]j
9/2 221/50 9/2 111/25 | [-1.4e+2 +/- 6.40] + [-6.8e+2 +/- 8.29]j | [-1.41e+2 +/- 0.449] + [-6.81e+2 +/- 0.145]j
9/2 111/25 9/2 223/50 | [-1.4e+2 +/- 8.81] + [-7e+2 +/- 20.3]j | [-138.2 +/- 0.0928] + [-684.0 +/- 0.0876]j
9/2 223/50 9/2 112/25 | [-1e+2 +/- 40.4] + [-6.9e+2 +/- 7.18]j | [-135.8 +/- 0.0819] + [-687.1 +/- 0.0837]j
9/2 112/25 9/2 9/2 | [-1.3e+2 +/- 7.96] + [-6.9e+2 +/- 7.53]j | [-1.33e+2 +/- 0.438] + [-6.90e+2 +/- 0.250]j
9/2 9/2 9/2 113/25 | [-1.3e+2 +/- 6.13] + [-7e+2 +/- 11.1]j | [-130.9 +/- 0.0944] + [-6.93e+2 +/- 0.331]j
9/2 113/25 9/2 227/50 | [-1.3e+2 +/- 8.59] + [-7.0e+2 +/- 7.94]j | [-1.28e+2 +/- 0.540] + [-6.96e+2 +/- 0.412]j
9/2 227/50 9/2 114/25 | [-1e+2 +/- 30.6] + [-7.0e+2 +/- 6.78]j | [-126.0 +/- 0.0795] + [-699.4 +/- 0.0920]j
9/2 114/25 9/2 229/50 | [-1.2e+2 +/- 8.10] + [-7e+2 +/- 9.86]j | [-1.24e+2 +/- 0.557] + [-702.5 +/- 0.0809]j
9/2 229/50 9/2 23/5 | [-1.2e+2 +/- 6.03] + [-7.1e+2 +/- 8.70]j | [-1.21e+2 +/- 0.111] + [-7.06e+2 +/- 0.501]j
9/2 23/5 9/2 231/50 | [-1.2e+2 +/- 8.54] + [-7.1e+2 +/- 6.02]j | [-1.19e+2 +/- 0.542] + [-7.09e+2 +/- 0.420]j
9/2 231/50 9/2 116/25 | [-1e+2 +/- 20.6] + [-7.1e+2 +/- 9.10]j | [-1.16e+2 +/- 0.104] + [-7.12e+2 +/- 0.340]j
9/2 116/25 9/2 233/50 | [-1.1e+2 +/- 8.06] + [-7.2e+2 +/- 9.45]j | [-113.5 +/- 0.0841] + [-714.8 +/- 0.0956]j
9/2 233/50 9/2 117/25 | [-1.1e+2 +/- 6.11] + [-7.2e+2 +/- 6.37]j | [-1.11e+2 +/- 0.103] + [-717.9 +/- 0.0789]j
9/2 117/25 9/2 47/10 | [-1.1e+2 +/- 8.66] + [-7.2e+2 +/- 8.34]j | [-1.08e+2 +/- 0.512] + [-7.21e+2 +/- 0.0987]j
9/2 47/10 9/2 118/25 | [-1e+2 +/- 10.5] + [-7e+2 +/- 31.5]j | [-105.9 +/- 0.0969] + [-7.24e+2 +/- 0.138]j
9/2 118/25 9/2 237/50 | [-1.0e+2 +/- 7.84] + [-7.3e+2 +/- 7.13]j | [-103.3 +/- 0.0960] + [-7.27e+2 +/- 0.218]j
9/2 237/50 9/2 119/25 | [-1e+2 +/- 6.36] + [-7.3e+2 +/- 7.57]j | [-1.01e+2 +/- 0.336] + [-7.30e+2 +/- 0.299]j
9/2 119/25 9/2 239/50 | [-1e+2 +/- 8.95] + [-7e+2 +/- 40.7]j | [-9.8e+1 +/- 0.237] + [-733.3 +/- 0.0789]j
9/2 239/50 9/2 24/5 | [+/- 1.01e+2] + [-7.4e+2 +/- 7.88]j | [-9.6e+1 +/- 0.517] + [-736.4 +/- 0.0977]j
9/2 24/5 9/2 241/50 | [-9e+1 +/- 7.46] + [-7.4e+2 +/- 6.81]j | [-9.3e+1 +/- 0.124] + [-7.39e+2 +/- 0.540]j
9/2 241/50 9/2 121/25 | [-9e+1 +/- 6.79] + [-7e+2 +/- 49.9]j | [-9.0e+1 +/- 0.417] + [-7.43e+2 +/- 0.538]j
9/2 121/25 9/2 243/50 | [-9e+1 +/- 9.42] + [-7.5e+2 +/- 8.64]j | [-87.7 +/- 0.0874] + [-7.46e+2 +/- 0.458]j
9/2 243/50 9/2 122/25 | [-8e+1 +/- 9.55] + [-7.5e+2 +/- 6.05]j | [-8.5e+1 +/- 0.148] + [-748.7 +/- 0.0807]j
9/2 122/25 9/2 49/10 | [-8e+1 +/- 6.89] + [-7.5e+2 +/- 9.13]j | [-82.4 +/- 0.0975] + [-751.8 +/- 0.0975]j
9/2 49/10 9/2 123/25 | [-8e+1 +/- 7.38] + [-7.6e+2 +/- 9.40]j | [-8.0e+1 +/- 0.323] + [-7.55e+2 +/- 0.218]j
9/2 123/25 9/2 247/50 | [+/- 81.6] + [-7.6e+2 +/- 6.31]j | [-77.1 +/- 0.0955] + [-7.58e+2 +/- 0.138]j
9/2 247/50 9/2 124/25 | [-7e+1 +/- 8.85] + [-7.6e+2 +/- 8.36]j | [-74.4 +/- 0.0810] + [-7.61e+2 +/- 0.102]j
9/2 124/25 9/2 249/50 | [-7e+1 +/- 6.15] + [-8e+2 +/- 40.2]j | [-71.7 +/- 0.0870] + [-764.1 +/- 0.0817]j
9/2 249/50 9/2 5 | [-7e+1 +/- 8.15] + [-7.7e+2 +/- 7.07]j | [-69.0 +/- 0.0822] + [-767.2 +/- 0.0983]j
9/2 5 9/2 251/50 | [+/- 70.8] + [-7.7e+2 +/- 7.60]j | [-6.6e+1 +/- 0.367] + [-7.70e+2 +/- 0.342]j
9/2 251/50 9/2 126/25 | [-6e+1 +/- 7.99] + [-8e+2 +/- 31.0]j | [-6.4e+1 +/- 0.521] + [-7.73e+2 +/- 0.422]j
9/2 126/25 9/2 253/50 | [-6e+1 +/- 6.35] + [-7.8e+2 +/- 7.83]j | [-6.1e+1 +/- 0.259] + [-7.76e+2 +/- 0.502]j
9/2 253/50 9/2 127/25 | [-6e+1 +/- 9.10] + [-7.8e+2 +/- 6.84]j | [-5.8e+1 +/- 0.154] + [-779.5 +/- 0.0814]j
9/2 127/25 9/2 51/10 | [-5e+1 +/- 9.72] + [-8e+2 +/- 21.7]j | [-5.5e+1 +/- 0.395] + [-7.83e+2 +/- 0.500]j
9/2 51/10 9/2 128/25 | [-5e+1 +/- 6.94] + [-7.9e+2 +/- 8.59]j | [-5.3e+1 +/- 0.538] + [-7.86e+2 +/- 0.420]j
9/2 128/25 9/2 257/50 | [-5e+1 +/- 7.42] + [-7.9e+2 +/- 6.07]j | [-5.0e+1 +/- 0.319] + [-7.89e+2 +/- 0.341]j
9/2 257/50 9/2 129/25 | [+/- 51.4] + [-7.9e+2 +/- 9.15]j | [-4.7e+1 +/- 0.111] + [-7.92e+2 +/- 0.261]j
9/2 129/25 9/2 259/50 | [-4e+1 +/- 8.55] + [-8.0e+2 +/- 9.34]j | [-4.4e+1 +/- 0.249] + [-794.9 +/- 0.0815]j
9/2 259/50 9/2 26/5 | [-4e+1 +/- 5.84] + [-8.0e+2 +/- 6.26]j | [-4.1e+1 +/- 0.435] + [-7.98e+2 +/- 0.103]j
9/2 26/5 9/2 261/50 | [-4e+1 +/- 8.67] + [-8.0e+2 +/- 8.38]j | [-3.9e+1 +/- 0.553] + [-8.01e+2 +/- 0.140]j
9/2 261/50 9/2 131/25 | [+/- 40.1] + [-8e+2 +/- 11.5]j | [-35.7 +/- 0.0885] + [-8.04e+2 +/- 0.220]j
9/2 131/25 9/2 263/50 | [-3e+1 +/- 7.20] + [-8.1e+2 +/- 7.02]j | [-3.3e+1 +/- 0.232] + [-807.2 +/- 0.0946]j
9/2 263/50 9/2 132/25 | [-3e+1 +/- 7.22] + [-8.1e+2 +/- 7.62]j | [-30.0 +/- 0.0886] + [-810.3 +/- 0.0802]j
9/2 132/25 9/2 53/10 | [+/- 31.5] + [-8e+2 +/- 20.7]j | [-2.7e+1 +/- 0.199] + [-8.13e+2 +/- 0.454]j
9/2 53/10 9/2 133/25 | [-2e+1 +/- 8.57] + [-8.2e+2 +/- 7.78]j | [-2.4e+1 +/- 0.320] + [-8.16e+2 +/- 0.534]j
9/2 133/25 9/2 267/50 | [-2e+1 +/- 5.87] + [-8.2e+2 +/- 6.85]j | [-2.1e+1 +/- 0.430] + [-8.20e+2 +/- 0.543]j
9/2 267/50 9/2 134/25 | [-2e+1 +/- 8.78] + [-8e+2 +/- 30.0]j | [-1.8e+1 +/- 0.530] + [-822.6 +/- 0.0920]j
9/2 134/25 9/2 269/50 | [+/- 19.9] + [-8.3e+2 +/- 8.53]j | [-1.6e+1 +/- 0.540] + [-825.7 +/- 0.0843]j
9/2 269/50 9/2 27/5 | [-1e+1 +/- 6.92] + [-8.3e+2 +/- 6.08]j | [-12.6 +/- 0.0948] + [-8.29e+2 +/- 0.306]j
9/2 27/5 9/2 271/50 | [+/- 14.0] + [-8.3e+2 +/- 9.16]j | [-9.7 +/- 0.0962] + [-8.32e+2 +/- 0.227]j
9/2 271/50 9/2 136/25 | [+/- 11.1] + [-8.4e+2 +/- 9.29]j | [-7e+0 +/- 0.341] + [-8.35e+2 +/- 0.148]j
9/2 136/25 9/2 273/50 | [+/- 8.06] + [-8.4e+2 +/- 6.21]j | [-3.8 +/- 0.0964] + [-838.0 +/- 0.0885]j
9/2 273/50 9/2 137/25 | [+/- 6.44] + [-8.4e+2 +/- 8.40]j | [-0.8 +/- 0.0954] + [-841.1 +/- 0.0894]j
9/2 137/25 9/2 11/2 | [+/- 9.43] + [-8e+2 +/- 51.5]j | [2e+0 +/- 0.241] + [-8.44e+2 +/- 0.247]j
9/2 11/2 9/2 138/25 | [+/- 12.5] + [-8.5e+2 +/- 6.99]j | [5e+0 +/- 0.229] + [-8.47e+2 +/- 0.326]j
9/2 138/25 9/2 277/50 | [+/- 15.5] + [-8.5e+2 +/- 7.65]j | [8e+0 +/- 0.228] + [-8.50e+2 +/- 0.405]j
9/2 277/50 9/2 139/25 | [1e+1 +/- 8.46] + [-9e+2 +/- 50.9]j | [1.1e+1 +/- 0.238] + [-853.4 +/- 0.0840]j
9/2 139/25 9/2 279/50 | [+/- 21.5] + [-8.6e+2 +/- 7.77]j | [1.4e+1 +/- 0.259] + [-856.5 +/- 0.0954]j
9/2 279/50 9/2 28/5 | [2e+1 +/- 7.07] + [-8.6e+2 +/- 6.91]j | [17.2 +/- 0.0902] + [-8.60e+2 +/- 0.517]j
9/2 28/5 9/2 281/50 | [2e+1 +/- 7.59] + [-9e+2 +/- 41.7]j | [2.0e+1 +/- 0.333] + [-8.63e+2 +/- 0.439]j
9/2 281/50 9/2 141/25 | [+/- 30.7] + [-8.7e+2 +/- 8.56]j | [23.3 +/- 0.0865] + [-8.66e+2 +/- 0.360]j
9/2 141/25 9/2 283/50 | [3e+1 +/- 7.92] + [-8.7e+2 +/- 6.16]j | [2.6e+1 +/- 0.451] + [-868.8 +/- 0.0809]j
9/2 283/50 9/2 142/25 | [3e+1 +/- 6.82] + [-8.7e+2 +/- 9.25]j | [2.9e+1 +/- 0.527] + [-8.72e+2 +/- 0.203]j
9/2 142/25 9/2 57/10 | [+/- 40.0] + [-8.8e+2 +/- 9.34]j | [3.3e+1 +/- 0.549] + [-8.75e+2 +/- 0.124]j
9/2 57/10 9/2 143/25 | [4e+1 +/- 8.66] + [-8.8e+2 +/- 6.27]j | [3.6e+1 +/- 0.452] + [-8.78e+2 +/- 0.115]j
9/2 143/25 9/2 287/50 | [4e+1 +/- 6.15] + [-8.8e+2 +/- 8.50]j | [3.9e+1 +/- 0.344] + [-8.81e+2 +/- 0.194]j
9/2 287/50 9/2 144/25 | [4e+1 +/- 9.28] + [-9e+2 +/- 20.2]j | [4.2e+1 +/- 0.225] + [-884.2 +/- 0.0887]j
9/2 144/25 9/2 289/50 | [5e+1 +/- 9.31] + [-8.9e+2 +/- 7.05]j | [4.5e+1 +/- 0.0951] + [-8.87e+2 +/- 0.351]j
9/2 289/50 9/2 29/5 | [5e+1 +/- 6.17] + [-8.9e+2 +/- 7.76]j | [4.8e+1 +/- 0.208] + [-8.90e+2 +/- 0.430]j
9/2 29/5 9/2 291/50 | [5e+1 +/- 8.73] + [-9e+2 +/- 11.0]j | [5.1e+1 +/- 0.360] + [-8.93e+2 +/- 0.508]j
9/2 291/50 9/2 146/25 | [6e+1 +/- 9.85] + [-9.0e+2 +/- 7.83]j | [5.4e+1 +/- 0.522] + [-896.5 +/- 0.0863]j
9/2 146/25 9/2 293/50 | [6e+1 +/- 6.68] + [-9.0e+2 +/- 7.01]j | [5.8e+1 +/- 0.468] + [-9.00e+2 +/- 0.498]j
9/2 293/50 9/2 147/25 | [6e+1 +/- 8.29] + [-9e+2 +/- 10.1]j | [60.8 +/- 0.0835] + [-9.03e+2 +/- 0.420]j
9/2 147/25 9/2 59/10 | [+/- 71.5] + [-9.1e+2 +/- 8.61]j | [64.0 +/- 0.0885] + [-9.06e+2 +/- 0.342]j
9/2 59/10 9/2 148/25 | [7e+1 +/- 7.10] + [-9.1e+2 +/- 6.26]j | [67.2 +/- 0.0826] + [-9.09e+2 +/- 0.264]j
9/2 148/25 9/2 297/50 | [7e+1 +/- 7.94] + [-9.1e+2 +/- 9.35]j | [7.0e+1 +/- 0.499] + [-911.9 +/- 0.0850]j
9/2 297/50 9/2 149/25 | [+/- 81.2] + [-9.2e+2 +/- 9.40]j | [7.4e+1 +/- 0.439] + [-9.15e+2 +/- 0.108]j
9/2 149/25 9/2 299/50 | [8e+1 +/- 7.41] + [-9.2e+2 +/- 6.33]j | [7.7e+1 +/- 0.200] + [-9.18e+2 +/- 0.135]j
9/2 299/50 9/2 6 | [8e+1 +/- 7.69] + [-9.2e+2 +/- 8.60]j | [8.0e+1 +/- 0.215] + [-9.21e+2 +/- 0.213]j
9/2 6 9/2 301/50 | [+/- 91.0] + [-9e+2 +/- 31.7]j | [83.4 +/- 0.0895] + [-924.2 +/- 0.0909]j
9/2 301/50 9/2 151/25 | [9e+1 +/- 7.63] + [-9.3e+2 +/- 7.11]j | [8.7e+1 +/- 0.419] + [-9.27e+2 +/- 0.369]j
9/2 151/25 9/2 303/50 | [9e+1 +/- 7.54] + [-9.3e+2 +/- 7.85]j | [9.0e+1 +/- 0.136] + [-9.30e+2 +/- 0.448]j
9/2 303/50 9/2 152/25 | [+/- 1.01e+2] + [-9e+2 +/- 41.0]j | [9.3e+1 +/- 0.323] + [-9.33e+2 +/- 0.526]j
9/2 152/25 9/2 61/10 | [1e+2 +/- 7.76] + [-9.4e+2 +/- 7.90]j | [9.7e+1 +/- 0.539] + [-9.37e+2 +/- 0.563]j
9/2 61/10 9/2 153/25 | [1.0e+2 +/- 7.49] + [-9.4e+2 +/- 7.10]j | [1.0e+2 +/- 0.224] + [-939.6 +/- 0.0845]j
9/2 153/25 9/2 307/50 | [1e+2 +/- 10.9] + [-9e+2 +/- 50.2]j | [1.03e+2 +/- 0.269] + [-9.43e+2 +/- 0.407]j
9/2 307/50 9/2 154/25 | [1.1e+2 +/- 7.78] + [-9.5e+2 +/- 8.68]j | [1.07e+2 +/- 0.562] + [-9.46e+2 +/- 0.330]j
9/2 154/25 9/2 309/50 | [1.1e+2 +/- 7.53] + [-9.5e+2 +/- 6.36]j | [1.10e+2 +/- 0.214] + [-9.49e+2 +/- 0.252]j
9/2 309/50 9/2 31/5 | [1e+2 +/- 20.9] + [-9.5e+2 +/- 9.44]j | [1.13e+2 +/- 0.312] + [-951.9 +/- 0.0924]j
9/2 31/5 9/2 311/50 | [1.2e+2 +/- 7.71] + [-9.6e+2 +/- 9.47]j | [116.6 +/- 0.0857] + [-9.55e+2 +/- 0.0967]j
9/2 311/50 9/2 156/25 | [1.2e+2 +/- 7.68] + [-9.6e+2 +/- 6.40]j | [1.20e+2 +/- 0.106] + [-9.58e+2 +/- 0.148]j
9/2 156/25 9/2 313/50 | [1e+2 +/- 31.1] + [-9.6e+2 +/- 8.69]j | [1.23e+2 +/- 0.454] + [-9.61e+2 +/- 0.226]j
9/2 313/50 9/2 157/25 | [1.3e+2 +/- 7.54] + [-1e+3 +/- 40.3]j | [1.27e+2 +/- 0.312] + [-9.64e+2 +/- 0.304]j
9/2 157/25 9/2 63/10 | [1.3e+2 +/- 7.92] + [-9.7e+2 +/- 7.18]j | [1.30e+2 +/- 0.270] + [-967.3 +/- 0.0871]j
9/2 63/10 9/2 158/25 | [1e+2 +/- 41.4] + [-9.7e+2 +/- 7.94]j | [133.6 +/- 0.0936] + [-9.70e+2 +/- 0.459]j
9/2 158/25 9/2 317/50 | [1.4e+2 +/- 7.27] + [-1e+3 +/- 31.1]j | [1.37e+2 +/- 0.129] + [-9.73e+2 +/- 0.536]j
9/2 317/50 9/2 159/25 | [1.4e+2 +/- 8.26] + [-9.8e+2 +/- 7.97]j | [140.5 +/- 0.0942] + [-9.77e+2 +/- 0.556]j
9/2 159/25 9/2 319/50 | [1e+2 +/- 51.8] + [-9.8e+2 +/- 7.19]j | [1.44e+2 +/- 0.138] + [-979.6 +/- 0.0909]j
9/2 319/50 9/2 32/5 | [1.5e+2 +/- 6.90] + [-1e+3 +/- 21.9]j | [1.47e+2 +/- 0.500] + [-9.83e+2 +/- 0.401]j
