# a_re a_im b_re b_im | D on the segment ball | D(a)
9/2 37/50 9/2 19/25 | [-4.0e+2 +/- 5.10] + [-1.2e+2 +/- 8.63]j | [-399.2 +/- 0.0791] + [-114.0 +/- 0.0868]j
9/2 19/25 9/2 39/50 | [-4.0e+2 +/- 5.54] + [-1.2e+2 +/- 5.58]j | [-398.8 +/- 0.0698] + [-117.0 +/- 0.0766]j
9/2 39/50 9/2 4/5 | [-4.0e+2 +/- 5.98] + [-1.2e+2 +/- 5.82]j | [-398.4 +/- 0.0496] + [-120.1 +/- 0.0570]j
9/2 4/5 9/2 41/50 | [-4.0e+2 +/- 6.44] + [-1.2e+2 +/- 8.92]j | [-398.0 +/- 0.0764] + [-123.2 +/- 0.0472]j
9/2 41/50 9/2 21/25 | [-4.0e+2 +/- 6.91] + [-1.3e+2 +/- 6.40]j | [-397.5 +/- 0.0766] + [-126.3 +/- 0.0672]j
9/2 21/25 9/2 43/50 | [-4.0e+2 +/- 7.39] + [-1.3e+2 +/- 5.12]j | [-397.1 +/- 0.0718] + [-129.4 +/- 0.0873]j
9/2 43/50 9/2 22/25 | [-4.0e+2 +/- 7.88] + [-1.3e+2 +/- 8.22]j | [-396.6 +/- 0.0599] + [-132.4 +/- 0.0786]j
9/2 22/25 9/2 9/10 | [-4.0e+2 +/- 8.38] + [-1.4e+2 +/- 7.22]j | [-396.1 +/- 0.0852] + [-135.5 +/- 0.0590]j
9/2 9/10 9/2 23/25 | [-4.0e+2 +/- 8.89] + [-1.4e+2 +/- 4.42]j | [-395.7 +/- 0.0969] + [-138.6 +/- 0.0473]j
9/2 23/25 9/2 47/50 | [-3.9e+2 +/- 9.22] + [-1.4e+2 +/- 7.53]j | [-395.2 +/- 0.0937] + [-141.7 +/- 0.0674]j
9/2 47/50 9/2 24/25 | [-3.9e+2 +/- 8.72] + [-1.5e+2 +/- 8.03]j | [-394.6 +/- 0.0956] + [-144.8 +/- 0.0873]j
9/2 24/25 9/2 49/50 | [-3.9e+2 +/- 8.22] + [-1.5e+2 +/- 4.98]j | [-394.1 +/- 0.0773] + [-147.8 +/- 0.0810]j
9/2 49/50 9/2 1 | [-3.9e+2 +/- 7.71] + [-1.5e+2 +/- 6.83]j | [-393.6 +/- 0.0496] + [-150.9 +/- 0.0616]j
9/2 1 9/2 51/50 | [-3.9e+2 +/- 7.18] + [-1.6e+2 +/- 8.85]j | [-393.1 +/- 0.0901] + [-154.0 +/- 0.0471]j
