# a_re a_im b_re b_im | D on the segment ball | D(a)
-1/20 217/50 -1/20 108/25 | [3e+2 +/- 44.7] + [-1e+2 +/- 46.7]j | [269.7 +/- 0.0710] + [-133.7 +/- 0.0757]j
-1/20 108/25 -1/20 43/10 | [3e+2 +/- 46.8] + [-1e+2 +/- 45.9]j | [267.4 +/- 0.0503] + [-133.1 +/- 0.0805]j
-1/20 43/10 -1/20 107/25 | [3e+2 +/- 48.8] + [-1e+2 +/- 44.9]j | [265.1 +/- 0.0595] + [-132.5 +/- 0.0868]j
-1/20 107/25 -1/20 213/50 | [3e+2 +/- 51.8] + [-1e+2 +/- 45.0]j | [262.8 +/- 0.0574] + [-1.32e+2 +/- 0.194]j
-1/20 213/50 -1/20 106/25 | [3e+2 +/- 53.4] + [-1e+2 +/- 43.7]j | [260.5 +/- 0.0566] + [-131.3 +/- 0.0989]j
-1/20 106/25 -1/20 211/50 | [3e+2 +/- 57.0] + [-1e+2 +/- 44.5]j | [258.2 +/- 0.0801] + [-130.6 +/- 0.0933]j
-1/20 211/50 -1/20 21/5 | [3e+2 +/- 59.4] + [-1e+2 +/- 44.0]j | [256.0 +/- 0.0827] + [-130.0 +/- 0.0860]j
-1/20 21/5 -1/20 209/50 | [3e+2 +/- 61.6] + [-1e+2 +/- 43.3]j | [253.7 +/- 0.0626] + [-129.4 +/- 0.0783]j
-1/20 209/50 -1/20 104/25 | [3e+2 +/- 63.3] + [-1e+2 +/- 42.2]j | [251.5 +/- 0.0783] + [-128.8 +/- 0.0696]j
-1/20 104/25 -1/20 207/50 | [2e+2 +/- 61.1] + [-1e+2 +/- 40.9]j | [249.2 +/- 0.0882] + [-128.2 +/- 0.0604]j
-1/20 207/50 -1/20 103/25 | [2e+2 +/- 58.2] + [-1e+2 +/- 39.6]j | [247.0 +/- 0.0676] + [-127.6 +/- 0.0506]j
-1/20 103/25 -1/20 41/10 | [2e+2 +/- 57.0] + [-1e+2 +/- 39.9]j | [244.8 +/- 0.0585] + [-127.0 +/- 0.0554]j
-1/20 41/10 -1/20 102/25 | [2e+2 +/- 54.7] + [-1e+2 +/- 39.3]j | [242.6 +/- 0.0616] + [-126.4 +/- 0.0666]j
-1/20 102/25 -1/20 203/50 | [2e+2 +/- 53.2] + [-1e+2 +/- 39.4]j | [240.4 +/- 0.0745] + [-125.8 +/- 0.0767]j
-1/20 203/50 -1/20 101/25 | [2e+2 +/- 51.1] + [-1e+2 +/- 38.8]j | [238.2 +/- 0.0993] + [-125.2 +/- 0.0884]j
-1/20 101/25 -1/20 201/50 | [2e+2 +/- 48.8] + [-1e+2 +/- 38.0]j | [236.1 +/- 0.0646] + [-124.5 +/- 0.0995]j
-1/20 201/50 -1/20 4 | [2e+2 +/- 46.6] + [-1e+2 +/- 37.4]j | [233.9 +/- 0.0810] + [-123.9 +/- 0.0867]j
-1/20 4 -1/20 199/50 | [2e+2 +/- 44.1] + [-1e+2 +/- 36.4]j | [231.8 +/- 0.0595] + [-123.3 +/- 0.0737]j
-1/20 199/50 -1/20 99/25 | [2e+2 +/- 41.4] + [-1e+2 +/- 35.2]j | [229.7 +/- 0.0907] + [-122.7 +/- 0.0605]j
-1/20 99/25 -1/20 197/50 | [2e+2 +/- 38.4] + [-1e+2 +/- 33.7]j | [227.5 +/- 0.0856] + [-122.1 +/- 0.0498]j
-1/20 197/50 -1/20 98/25 | [2e+2 +/- 36.6] + [-1e+2 +/- 33.4]j | [225.4 +/- 0.0760] + [-121.5 +/- 0.0635]j
-1/20 98/25 -1/20 39/10 | [2e+2 +/- 35.0] + [-1e+2 +/- 33.2]j | [223.3 +/- 0.0784] + [-120.9 +/- 0.0787]j
-1/20 39/10 -1/20 97/25 | [2e+2 +/- 33.7] + [-1e+2 +/- 33.4]j | [221.2 +/- 0.0917] + [-120.3 +/- 0.0942]j
-1/20 97/25 -1/20 193/50 | [2e+2 +/- 31.7] + [-1e+2 +/- 32.9]j | [219.2 +/- 0.0809] + [-119.6 +/- 0.0869]j
-1/20 193/50 -1/20 96/25 | [2e+2 +/- 29.4] + [-1e+2 +/- 32.1]j | [217.1 +/- 0.0499] + [-119.0 +/- 0.0701]j
-1/20 96/25 -1/20 191/50 | [2e+2 +/- 27.0] + [-1e+2 +/- 31.1]j | [215.0 +/- 0.0963] + [-118.4 +/- 0.0535]j
-1/20 191/50 -1/20 19/5 | [2e+2 +/- 24.4] + [-1e+2 +/- 29.9]j | [213.0 +/- 0.0543] + [-117.8 +/- 0.0605]j
-1/20 19/5 -1/20 189/50 | [2e+2 +/- 21.8] + [-1e+2 +/- 28.7]j | [211.0 +/- 0.0750] + [-117.2 +/- 0.0788]j
-1/20 189/50 -1/20 94/25 | [2e+2 +/- 19.8] + [-1e+2 +/- 28.1]j | [209.0 +/- 0.0932] + [-116.6 +/- 0.0948]j
-1/20 94/25 -1/20 187/50 | [2e+2 +/- 18.3] + [-1e+2 +/- 28.0]j | [206.9 +/- 0.0905] + [-115.9 +/- 0.0794]j
-1/20 187/50 -1/20 93/25 | [2e+2 +/- 16.7] + [-1e+2 +/- 27.7]j | [204.9 +/- 0.0915] + [-115.3 +/- 0.0591]j
-1/20 93/25 -1/20 37/10 | [2e+2 +/- 15.0] + [-1e+2 +/- 27.4]j | [203.0 +/- 0.0893] + [-114.7 +/- 0.0547]j
-1/20 37/10 -1/20 92/25 | [2e+2 +/- 13.1] + [-1e+2 +/- 26.8]j | [201.0 +/- 0.0662] + [-114.1 +/- 0.0762]j
-1/20 92/25 -1/20 183/50 | [2e+2 +/- 14.9] + [-1e+2 +/- 26.1]j | [199.0 +/- 0.0628] + [-113.4 +/- 0.0965]j
-1/20 183/50 -1/20 91/25 | [2e+2 +/- 16.5] + [-1e+2 +/- 25.1]j | [197.1 +/- 0.0837] + [-112.8 +/- 0.0726]j
-1/20 91/25 -1/20 181/50 | [2e+2 +/- 18.1] + [-1e+2 +/- 24.2]j | [195.1 +/- 0.0657] + [-112.2 +/- 0.0518]j
-1/20 181/50 -1/20 18/5 | [2e+2 +/- 20.1] + [-1e+2 +/- 23.6]j | [193.2 +/- 0.0618] + [-111.6 +/- 0.0672]j
-1/20 18/5 -1/20 179/50 | [2e+2 +/- 21.3] + [-1e+2 +/- 22.3]j | [191.3 +/- 0.0829] + [-111.0 +/- 0.0913]j
-1/20 179/50 -1/20 89/25 | [2e+2 +/- 22.8] + [-1e+2 +/- 21.3]j | [189.4 +/- 0.0928] + [-110.3 +/- 0.0785]j
-1/20 89/25 -1/20 177/50 | [2e+2 +/- 24.8] + [-1e+2 +/- 20.7]j | [187.5 +/- 0.0918] + [-109.7 +/- 0.0525]j
-1/20 177/50 -1/20 88/25 | [2e+2 +/- 27.0] + [-1e+2 +/- 20.4]j | [185.6 +/- 0.0790] + [-109.1 +/- 0.0671]j
-1/20 88/25 -1/20 7/2 | [2e+2 +/- 29.4] + [-1e+2 +/- 20.3]j | [183.7 +/- 0.0561] + [-108.5 +/- 0.0942]j
-1/20 7/2 -1/20 87/25 | [2e+2 +/- 31.4] + [-1e+2 +/- 19.8]j | [181.8 +/- 0.0682] + [-107.8 +/- 0.0685]j
-1/20 87/25 -1/20 173/50 | [2e+2 +/- 33.1] + [-1e+2 +/- 19.1]j | [180.0 +/- 0.0763] + [-107.2 +/- 0.0496]j
-1/20 173/50 -1/20 86/25 | [2e+2 +/- 35.3] + [-1e+2 +/- 18.8]j | [178.1 +/- 0.0694] + [-106.6 +/- 0.0797]j
-1/20 86/25 -1/20 171/50 | [2e+2 +/- 36.5] + [-1e+2 +/- 17.5]j | [176.3 +/- 0.0544] + [-105.9 +/- 0.0806]j
-1/20 171/50 -1/20 17/5 | [2e+2 +/- 37.9] + [-1e+2 +/- 16.5]j | [174.5 +/- 0.0761] + [-105.3 +/- 0.0490]j
-1/20 17/5 -1/20 169/50 | [2e+2 +/- 39.2] + [-1e+2 +/- 15.3]j | [172.7 +/- 0.0866] + [-104.7 +/- 0.0714]j
-1/20 169/50 -1/20 84/25 | [2e+2 +/- 41.0] + [-1e+2 +/- 14.7]j | [170.9 +/- 0.0870] + [-104.0 +/- 0.0838]j
-1/20 84/25 -1/20 167/50 | [2e+2 +/- 43.1] + [-1e+2 +/- 14.3]j | [169.1 +/- 0.0763] + [-103.4 +/- 0.0502]j
-1/20 167/50 -1/20 83/25 | [2e+2 +/- 45.2] + [-1e+2 +/- 14.1]j | [167.3 +/- 0.0542] + [-102.8 +/- 0.0713]j
-1/20 83/25 -1/20 33/10 | [2e+2 +/- 47.2] + [-1e+2 +/- 13.7]j | [165.5 +/- 0.0651] + [-102.1 +/- 0.0804]j
-1/20 33/10 -1/20 82/25 | [2e+2 +/- 49.0] + [-1e+2 +/- 13.0]j | [163.8 +/- 0.0788] + [-101.5 +/- 0.0446]j
-1/20 82/25 -1/20 163/50 | [2e+2 +/- 50.7] + [-1e+2 +/- 12.4]j | [162.0 +/- 0.0630] + [-100.9 +/- 0.0799]j
-1/20 163/50 -1/20 81/25 | [2e+2 +/- 52.2] + [+/- 1.12e+2]j | [160.3 +/- 0.0585] + [-100.2 +/- 0.0690]j
-1/20 81/25 -1/20 161/50 | [2e+2 +/- 53.5] + [+/- 1.11e+2]j | [158.6 +/- 0.0826] + [-99.6 +/- 0.0560]j
-1/20 161/50 -1/20 16/5 | [2e+2 +/- 54.7] + [+/- 1.10e+2]j | [156.8 +/- 0.0905] + [-98.9 +/- 0.0905]j
-1/20 16/5 -1/20 159/50 | [2e+2 +/- 56.3] + [+/- 1.09e+2]j | [155.1 +/- 0.0881] + [-98.3 +/- 0.0496]j
-1/20 159/50 -1/20 79/25 | [2e+2 +/- 58.0] + [+/- 1.08e+2]j | [153.5 +/- 0.0881] + [-97.7 +/- 0.0770]j
-1/20 79/25 -1/20 157/50 | [2e+2 +/- 60.0] + [+/- 1.08e+2]j | [151.8 +/- 0.0689] + [-97.0 +/- 0.0659]j
-1/20 157/50 -1/20 78/25 | [1e+2 +/- 60.5] + [+/- 1.08e+2]j | [150.1 +/- 0.0476] + [-96.4 +/- 0.0636]j
-1/20 78/25 -1/20 31/10 | [1e+2 +/- 58.9] + [+/- 1.07e+2]j | [148.4 +/- 0.0888] + [-95.7 +/- 0.0779]j
-1/20 31/10 -1/20 77/25 | [1e+2 +/- 57.2] + [+/- 1.06e+2]j | [146.8 +/- 0.0449] + [-95.1 +/- 0.0535]j
-1/20 77/25 -1/20 153/50 | [1e+2 +/- 55.5] + [+/- 1.06e+2]j | [145.2 +/- 0.0823] + [-94.4 +/- 0.0861]j
-1/20 153/50 -1/20 76/25 | [1e+2 +/- 53.6] + [+/- 1.05e+2]j | [143.5 +/- 0.0779] + [-93.8 +/- 0.0479]j
-1/20 76/25 -1/20 151/50 | [1e+2 +/- 51.6] + [+/- 1.04e+2]j | [141.9 +/- 0.0631] + [-93.1 +/- 0.0904]j
-1/20 151/50 -1/20 3 | [1e+2 +/- 49.7] + [+/- 1.03e+2]j | [140.3 +/- 0.0582] + [-92.5 +/- 0.0469]j
-1/20 3 -1/20 149/50 | [1e+2 +/- 48.0] + [+/- 1.02e+2]j | [138.7 +/- 0.0640] + [-91.8 +/- 0.0893]j
-1/20 149/50 -1/20 74/25 | [1e+2 +/- 46.5] + [+/- 1.02e+2]j | [137.1 +/- 0.0792] + [-91.2 +/- 0.0478]j
-1/20 74/25 -1/20 147/50 | [1e+2 +/- 45.2] + [+/- 1.01e+2]j | [135.6 +/- 0.0779] + [-90.5 +/- 0.0837]j
-1/20 147/50 -1/20 73/25 | [1e+2 +/- 43.8] + [+/- 1.01e+2]j | [134.0 +/- 0.0457] + [-89.9 +/- 0.0561]j
-1/20 73/25 -1/20 29/10 | [1e+2 +/- 42.2] + [+/- 99.4]j | [132.5 +/- 0.0904] + [-89.2 +/- 0.0735]j
-1/20 29/10 -1/20 72/25 | [1e+2 +/- 40.5] + [+/- 98.6]j | [130.9 +/- 0.0534] + [-88.6 +/- 0.0674]j
-1/20 72/25 -1/20 143/50 | [1e+2 +/- 38.8] + [+/- 97.8]j | [129.4 +/- 0.0591] + [-87.9 +/- 0.0575]j
-1/20 143/50 -1/20 71/25 | [1e+2 +/- 37.0] + [+/- 96.8]j | [127.9 +/- 0.0796] + [-87.3 +/- 0.0849]j
-1/20 71/25 -1/20 141/50 | [1e+2 +/- 35.2] + [+/- 95.9]j | [126.4 +/- 0.0875] + [-86.6 +/- 0.0446]j
-1/20 141/50 -1/20 14/5 | [1e+2 +/- 33.6] + [+/- 95.1]j | [124.9 +/- 0.0855] + [-85.9 +/- 0.0771]j
-1/20 14/5 -1/20 139/50 | [1e+2 +/- 32.2] + [+/- 94.5]j | [123.4 +/- 0.0725] + [-85.3 +/- 0.0688]j
-1/20 139/50 -1/20 69/25 | [1e+2 +/- 30.9] + [+/- 94.0]j | [121.9 +/- 0.0497] + [-84.6 +/- 0.0498]j
-1/20 69/25 -1/20 137/50 | [1e+2 +/- 29.5] + [+/- 93.5]j | [120.4 +/- 0.0671] + [-83.9 +/- 0.0842]j
-1/20 137/50 -1/20 68/25 | [1e+2 +/- 28.1] + [+/- 92.8]j | [119.0 +/- 0.0710] + [-83.3 +/- 0.0649]j
-1/20 68/25 -1/20 27/10 | [1e+2 +/- 26.5] + [+/- 92.0]j | [117.5 +/- 0.0644] + [-82.6 +/- 0.0477]j
-1/20 27/10 -1/20 67/25 | [1e+2 +/- 25.0] + [+/- 91.2]j | [116.1 +/- 0.0514] + [-81.9 +/- 0.0782]j
-1/20 67/25 -1/20 133/50 | [1e+2 +/- 23.3] + [+/- 90.3]j | [114.7 +/- 0.0765] + [-81.3 +/- 0.0743]j
-1/20 133/50 -1/20 66/25 | [1e+2 +/- 21.6] + [+/- 89.4]j | [113.3 +/- 0.0905] + [-80.6 +/- 0.0466]j
-1/20 66/25 -1/20 131/50 | [1e+2 +/- 20.1] + [-8e+1 +/- 9.35]j | [111.8 +/- 0.0862] + [-79.9 +/- 0.0601]j
-1/20 131/50 -1/20 13/5 | [1.1e+2 +/- 9.20] + [+/- 87.9]j | [110.5 +/- 0.0866] + [-79.2 +/- 0.0839]j
-1/20 13/5 -1/20 129/50 | [1e+2 +/- 17.4] + [+/- 87.2]j | [109.1 +/- 0.0699] + [-78.6 +/- 0.0714]j
-1/20 129/50 -1/20 64/25 | [1e+2 +/- 16.1] + [+/- 86.6]j | [107.7 +/- 0.0436] + [-77.9 +/- 0.0503]j
-1/20 64/25 -1/20 127/50 | [1e+2 +/- 14.7] + [+/- 86.0]j | [106.3 +/- 0.0729] + [-77.2 +/- 0.0492]j
-1/20 127/50 -1/20 63/25 | [1e+2 +/- 13.4] + [+/- 85.3]j | [105.0 +/- 0.0590] + [-76.5 +/- 0.0672]j
-1/20 63/25 -1/20 5/2 | [1e+2 +/- 11.9] + [+/- 84.5]j | [103.6 +/- 0.0765] + [-75.8 +/- 0.0838]j
-1/20 5/2 -1/20 62/25 | [1e+2 +/- 10.5] + [+/- 83.7]j | [102.3 +/- 0.0446] + [-75.2 +/- 0.0793]j
-1/20 62/25 -1/20 123/50 | [1.0e+2 +/- 8.91] + [+/- 82.8]j | [101.0 +/- 0.0562] + [-74.5 +/- 0.0646]j
-1/20 123/50 -1/20 61/25 | [1e+2 +/- 9.37] + [+/- 81.9]j | [99.7 +/- 0.0681] + [-73.8 +/- 0.0518]j
-1/20 61/25 -1/20 121/50 | [+/- 1.06e+2] + [+/- 81.1]j | [98.4 +/- 0.0713] + [-73.1 +/- 0.0419]j
-1/20 121/50 -1/20 12/5 | [+/- 1.05e+2] + [+/- 80.3]j | [97.1 +/- 0.0648] + [-72.4 +/- 0.0449]j
-1/20 12/5 -1/20 119/50 | [+/- 1.04e+2] + [+/- 79.6]j | [95.8 +/- 0.0476] + [-71.7 +/- 0.0520]j
-1/20 119/50 -1/20 59/25 | [+/- 1.03e+2] + [-7e+1 +/- 8.82]j | [94.5 +/- 0.0578] + [-71.0 +/- 0.0574]j
-1/20 59/25 -1/20 117/50 | [+/- 1.01e+2] + [-7e+1 +/- 8.12]j | [93.3 +/- 0.0836] + [-70.3 +/- 0.0610]j
-1/20 117/50 -1/20 58/25 | [+/- 99.4] + [-7e+1 +/- 8.75]j | [92.0 +/- 0.0403] + [-69.6 +/- 0.0627]j
-1/20 58/25 -1/20 23/10 | [9e+1 +/- 8.15] + [+/- 76.6]j | [90.8 +/- 0.0807] + [-68.9 +/- 0.0628]j
-1/20 23/10 -1/20 57/25 | [9e+1 +/- 8.96] + [+/- 75.8]j | [89.5 +/- 0.0623] + [-68.2 +/- 0.0618]j
-1/20 57/25 -1/20 113/50 | [+/- 95.4] + [+/- 74.9]j | [88.3 +/- 0.0408] + [-67.5 +/- 0.0590]j
-1/20 113/50 -1/20 56/25 | [+/- 94.0] + [+/- 74.0]j | [87.1 +/- 0.0564] + [-66.8 +/- 0.0542]j
-1/20 56/25 -1/20 111/50 | [+/- 92.8] + [+/- 73.2]j | [85.9 +/- 0.0620] + [-66.1 +/- 0.0470]j
-1/20 111/50 -1/20 11/5 | [+/- 91.5] + [+/- 72.5]j | [84.7 +/- 0.0583] + [-65.4 +/- 0.0396]j
-1/20 11/5 -1/20 109/50 | [+/- 90.4] + [+/- 71.8]j | [83.5 +/- 0.0455] + [-64.7 +/- 0.0498]j
-1/20 109/50 -1/20 54/25 | [8e+1 +/- 9.17] + [+/- 71.1]j | [82.3 +/- 0.0527] + [-64.0 +/- 0.0613]j
-1/20 54/25 -1/20 107/50 | [8e+1 +/- 7.98] + [+/- 70.4]j | [81.1 +/- 0.0833] + [-63.3 +/- 0.0752]j
-1/20 107/50 -1/20 53/25 | [8e+1 +/- 8.02] + [+/- 69.7]j | [80.0 +/- 0.0518] + [-62.5 +/- 0.0837]j
-1/20 53/25 -1/20 21/10 | [8e+1 +/- 9.18] + [-6e+1 +/- 8.91]j | [78.8 +/- 0.0722] + [-61.8 +/- 0.0661]j
-1/20 21/10 -1/20 52/25 | [+/- 84.5] + [-6e+1 +/- 8.11]j | [77.7 +/- 0.0448] + [-61.1 +/- 0.0458]j
-1/20 52/25 -1/20 103/50 | [+/- 83.3] + [-6e+1 +/- 7.34]j | [76.6 +/- 0.0784] + [-60.4 +/- 0.0501]j
-1/20 103/50 -1/20 51/25 | [+/- 82.3] + [-6e+1 +/- 8.07]j | [75.4 +/- 0.0711] + [-59.7 +/- 0.0734]j
-1/20 51/25 -1/20 101/50 | [+/- 81.3] + [-6e+1 +/- 8.94]j | [74.3 +/- 0.0548] + [-58.9 +/- 0.0753]j
-1/20 101/50 -1/20 2 | [+/- 80.4] + [+/- 65.6]j | [73.2 +/- 0.0468] + [-58.2 +/- 0.0479]j
-1/20 2 -1/20 99/50 | [7e+1 +/- 9.39] + [+/- 65.0]j | [72.1 +/- 0.0473] + [-57.5 +/- 0.0542]j
-1/20 99/50 -1/20 49/25 | [7e+1 +/- 8.42] + [+/- 64.4]j | [71.0 +/- 0.0564] + [-56.8 +/- 0.0851]j
-1/20 49/25 -1/20 97/50 | [7e+1 +/- 8.60] + [+/- 63.7]j | [69.9 +/- 0.0726] + [-56.0 +/- 0.0542]j
-1/20 97/50 -1/20 48/25 | [+/- 76.5] + [+/- 63.1]j | [68.9 +/- 0.0735] + [-55.3 +/- 0.0517]j
-1/20 48/25 -1/20 19/10 | [+/- 75.5] + [+/- 62.4]j | [67.8 +/- 0.0398] + [-54.5 +/- 0.0836]j
-1/20 19/10 -1/20 47/25 | [+/- 74.6] + [+/- 61.9]j | [66.7 +/- 0.0723] + [-53.8 +/- 0.0456]j
-1/20 47/25 -1/20 93/50 | [+/- 73.6] + [+/- 61.2]j | [65.7 +/- 0.0492] + [-53.1 +/- 0.0644]j
-1/20 93/50 -1/20 46/25 | [+/- 72.6] + [+/- 60.5]j | [64.6 +/- 0.0772] + [-52.3 +/- 0.0640]j
-1/20 46/25 -1/20 91/50 | [+/- 71.8] + [+/- 59.9]j | [63.6 +/- 0.0403] + [-51.6 +/- 0.0474]j
-1/20 91/50 -1/20 9/5 | [+/- 71.0] + [-5e+1 +/- 9.31]j | [62.6 +/- 0.0554] + [-50.8 +/- 0.0753]j
-1/20 9/5 -1/20 89/50 | [+/- 70.1] + [+/- 58.8]j | [61.6 +/- 0.0770] + [-50.1 +/- 0.0379]j
-1/20 89/50 -1/20 44/25 | [+/- 69.2] + [+/- 58.2]j | [60.5 +/- 0.0768] + [-49.3 +/- 0.0825]j
-1/20 44/25 -1/20 87/50 | [+/- 68.3] + [+/- 57.5]j | [59.5 +/- 0.0687] + [-48.6 +/- 0.0334]j
-1/20 87/50 -1/20 43/25 | [+/- 67.4] + [+/- 56.8]j | [58.5 +/- 0.0683] + [-47.8 +/- 0.0820]j
-1/20 43/25 -1/20 17/10 | [+/- 66.5] + [+/- 56.1]j | [57.5 +/- 0.0759] + [-47.1 +/- 0.0357]j
-1/20 17/10 -1/20 42/25 | [+/- 65.5] + [+/- 55.4]j | [56.6 +/- 0.0789] + [-46.3 +/- 0.0797]j
-1/20 42/25 -1/20 83/50 | [+/- 64.5] + [+/- 54.6]j | [55.6 +/- 0.0574] + [-45.6 +/- 0.0411]j
-1/20 83/50 -1/20 41/25 | [+/- 63.6] + [+/- 54.0]j | [54.6 +/- 0.0338] + [-44.8 +/- 0.0693]j
-1/20 41/25 -1/20 81/50 | [+/- 62.8] + [+/- 53.4]j | [53.6 +/- 0.0669] + [-44.1 +/- 0.0516]j
-1/20 81/50 -1/20 8/5 | [+/- 62.1] + [+/- 52.8]j | [52.7 +/- 0.0603] + [-43.3 +/- 0.0578]j
-1/20 8/5 -1/20 79/50 | [+/- 61.2] + [+/- 52.1]j | [51.7 +/- 0.0488] + [-42.6 +/- 0.0638]j
-1/20 79/50 -1/20 39/25 | [+/- 60.2] + [+/- 51.4]j | [50.8 +/- 0.0639] + [-41.8 +/- 0.0416]j
-1/20 39/25 -1/20 77/50 | [+/- 59.2] + [+/- 50.5]j | [49.8 +/- 0.0557] + [-41.1 +/- 0.0796]j
-1/20 77/50 -1/20 38/25 | [+/- 58.3] + [+/- 49.8]j | [48.9 +/- 0.0486] + [-40.3 +/- 0.0385]j
-1/20 38/25 -1/20 3/2 | [+/- 57.2] + [+/- 48.8]j | [48.0 +/- 0.0812] + [-39.5 +/- 0.0695]j
-1/20 3/2 -1/20 37/25 | [+/- 56.2] + [+/- 48.0]j | [47.0 +/- 0.0549] + [-38.8 +/- 0.0520]j
-1/20 37/25 -1/20 73/50 | [+/- 55.3] + [+/- 47.3]j | [46.1 +/- 0.0319] + [-38.0 +/- 0.0511]j
-1/20 73/50 -1/20 36/25 | [+/- 54.4] + [+/- 46.6]j | [45.2 +/- 0.0482] + [-37.3 +/- 0.0685]j
-1/20 36/25 -1/20 71/50 | [+/- 53.5] + [+/- 45.8]j | [44.3 +/- 0.0608] + [-36.5 +/- 0.0391]j
-1/20 71/50 -1/20 7/5 | [+/- 52.6] + [+/- 45.1]j | [43.4 +/- 0.0674] + [-35.8 +/- 0.0797]j
-1/20 7/5 -1/20 69/50 | [+/- 51.7] + [+/- 44.3]j | [42.5 +/- 0.0679] + [-35.0 +/- 0.0315]j
-1/20 69/50 -1/20 34/25 | [+/- 50.7] + [+/- 43.4]j | [41.6 +/- 0.0673] + [-34.2 +/- 0.0723]j
-1/20 34/25 -1/20 67/50 | [+/- 49.7] + [+/- 42.6]j | [40.7 +/- 0.0624] + [-33.5 +/- 0.0387]j
-1/20 67/50 -1/20 33/25 | [+/- 48.9] + [+/- 41.9]j | [39.8 +/- 0.0518] + [-32.7 +/- 0.0716]j
-1/20 33/25 -1/20 13/10 | [+/- 47.9] + [+/- 41.1]j | [38.9 +/- 0.0359] + [-32.0 +/- 0.0348]j
-1/20 13/10 -1/20 32/25 | [+/- 47.1] + [+/- 40.4]j | [38.0 +/- 0.0380] + [-31.2 +/- 0.0744]j
-1/20 32/25 -1/20 63/50 | [+/- 46.2] + [+/- 39.6]j | [37.1 +/- 0.0625] + [-30.5 +/- 0.0335]j
-1/20 63/50 -1/20 31/25 | [+/- 45.1] + [+/- 38.7]j | [36.3 +/- 0.0673] + [-29.8 +/- 0.0627]j
-1/20 31/25 -1/20 61/50 | [+/- 44.2] + [+/- 37.9]j | [35.4 +/- 0.0359] + [-29.0 +/- 0.0581]j
-1/20 61/50 -1/20 6/5 | [+/- 43.1] + [+/- 36.9]j | [34.5 +/- 0.0544] + [-28.3 +/- 0.0295]j
-1/20 6/5 -1/20 59/50 | [+/- 42.1] + [+/- 36.1]j | [33.7 +/- 0.0582] + [-27.6 +/- 0.0562]j
-1/20 59/50 -1/20 29/25 | [+/- 41.0] + [+/- 35.1]j | [32.8 +/- 0.0364] + [-26.8 +/- 0.0703]j
-1/20 29/25 -1/20 57/50 | [+/- 40.0] + [+/- 34.2]j | [32.0 +/- 0.0705] + [-26.1 +/- 0.0517]j
-1/20 57/50 -1/20 28/25 | [3e+1 +/- 8.82] + [+/- 33.2]j | [31.1 +/- 0.0350] + [-25.4 +/- 0.0368]j
-1/20 28/25 -1/20 11/10 | [3e+1 +/- 8.15] + [+/- 32.4]j | [30.3 +/- 0.0616] + [-24.7 +/- 0.0256]j
-1/20 11/10 -1/20 27/25 | [3e+1 +/- 8.79] + [+/- 31.5]j | [29.4 +/- 0.0476] + [-24.0 +/- 0.0263]j
-1/20 27/25 -1/20 53/50 | [3e+1 +/- 9.36] + [+/- 30.5]j | [28.6 +/- 0.0393] + [-23.3 +/- 0.0269]j
-1/20 53/50 -1/20 26/25 | [+/- 34.7] + [+/- 29.6]j | [27.8 +/- 0.0684] + [-22.6 +/- 0.0340]j
-1/20 26/25 -1/20 51/50 | [+/- 33.6] + [-2e+1 +/- 8.63]j | [26.9 +/- 0.0534] + [-21.9 +/- 0.0528]j
-1/20 51/50 -1/20 1 | [+/- 32.5] + [-2e+1 +/- 7.65]j | [26.1 +/- 0.0312] + [-21.3 +/- 0.0728]j
-1/20 1 -1/20 49/50 | [+/- 31.4] + [-2e+1 +/- 6.75]j | [25.3 +/- 0.0358] + [-20.6 +/- 0.0398]j
-1/20 49/50 -1/20 24/25 | [+/- 30.5] + [-2e+1 +/- 6.72]j | [24.5 +/- 0.0466] + [-19.9 +/- 0.0487]j
-1/20 24/25 -1/20 47/50 | [+/- 29.4] + [-2e+1 +/- 7.13]j | [23.7 +/- 0.0521] + [-19.3 +/- 0.0474]j
-1/20 47/50 -1/20 23/25 | [2e+1 +/- 8.36] + [-2e+1 +/- 7.56]j | [22.9 +/- 0.0543] + [-18.6 +/- 0.0579]j
-1/20 23/25 -1/20 9/10 | [2e+1 +/- 7.42] + [-2e+1 +/- 8.04]j | [22.1 +/- 0.0476] + [-18.0 +/- 0.0252]j
-1/20 9/10 -1/20 22/25 | [2e+1 +/- 6.42] + [-2e+1 +/- 8.44]j | [21.3 +/- 0.0344] + [-17.4 +/- 0.0436]j
-1/20 22/25 -1/20 43/50 | [2e+1 +/- 5.48] + [-2e+1 +/- 8.88]j | [20.5 +/- 0.0281] + [-16.8 +/- 0.0526]j
-1/20 43/50 -1/20 21/25 | [2e+1 +/- 5.83] + [+/- 21.1]j | [19.7 +/- 0.0559] + [-16.2 +/- 0.0553]j
-1/20 21/25 -1/20 41/50 | [2e+1 +/- 6.34] + [-2e+1 +/- 9.65]j | [19.0 +/- 0.0532] + [-15.6 +/- 0.0475]j
-1/20 41/50 -1/20 4/5 | [2e+1 +/- 6.91] + [-1e+1 +/- 9.46]j | [18.2 +/- 0.0339] + [-15.0 +/- 0.0267]j
-1/20 4/5 -1/20 39/50 | [2e+1 +/- 7.52] + [-1e+1 +/- 8.77]j | [17.5 +/- 0.0571] + [-14.4 +/- 0.0474]j
